fecha de inicio :	2022-02-17
hora de inicio :	13:41:34,08851
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
0,00000	0,99609
0,01008	0,99609
0,02017	0,99609
0,03025	0,99609
0,04033	0,99609
0,05042	0,99609
0,06050	1,00098
0,07058	0,99609
0,08067	1,00098
0,09075	1,00098
0,10083	0,99121
0,11092	0,99121
0,12100	1,00098
0,13108	0,99121
0,14117	0,99121
0,15125	0,99609
0,16133	1,00098
0,17142	1,00586
0,18150	1,00098
0,19159	0,99609
0,20167	0,99609
0,21175	1,00098
0,22184	1,00586
0,23192	0,99121
0,24200	1,00586
0,25209	0,99609
0,26217	0,99121
0,27225	0,99609
0,28234	0,99609
0,29242	0,99609
0,30250	0,99609
0,31259	0,99121
0,32267	0,99609
0,33275	1,00098
0,34284	0,99609
0,35292	0,99609
0,36300	0,99609
0,37309	1,00098
0,38317	0,99609
0,39325	0,99609
0,40334	0,99609
0,41342	0,99609
0,42350	0,99121
0,43359	0,99609
0,44367	0,99121
0,45375	1,00098
0,46384	0,99609
0,47392	0,99609
0,48400	0,99609
0,49409	1,00098
0,50417	0,99609
0,51425	1,00098
0,52434	0,99609
0,53442	0,99609
0,54450	0,99609
0,55459	1,00586
0,56467	0,99609
0,57476	1,00098
0,58484	0,99121
0,59492	1,00586
0,60501	0,99609
0,61509	1,00586
0,62517	0,99609
0,63526	0,99609
0,64534	0,99609
0,65542	0,99609
0,66551	0,99609
0,67559	1,00098
0,68567	0,99121
0,69576	0,99609
0,70584	0,99609
0,71592	0,99609
0,72601	0,99609
0,73609	0,99609
0,74617	0,99609
0,75626	1,00098
0,76634	0,99121
0,77642	1,00586
0,78651	0,99609
0,79659	0,99609
0,80667	1,00098
0,81676	0,99609
0,82684	1,00098
0,83692	0,99609
0,84701	0,99609
0,85709	1,00098
0,86717	0,99609
0,87726	0,99609
0,88734	1,00098
0,89742	0,99609
0,90751	0,99609
0,91759	0,99609
0,92768	1,00098
0,93776	0,99609
0,94784	0,99121
0,95793	1,00098
0,96801	1,00098
0,97809	0,99609
0,98818	1,00098
0,99826	0,99121
1,00834	0,99609
1,01843	0,99609
1,02851	0,99121
1,03859	0,99609
1,04868	1,00098
1,05876	1,00586
1,06884	0,99609
1,07893	1,00098
1,08901	0,99609
1,09909	0,99609
1,10918	0,99609
1,11926	0,99609
1,12934	1,00586
1,13943	0,99121
1,14951	0,99121
1,15959	0,99609
1,16968	0,99121
1,17976	0,99609
1,18984	1,00098
1,19993	0,99609
1,21001	1,00098
1,22009	0,99121
1,23018	0,99609
1,24026	1,00098
1,25034	0,99609
1,26043	0,99609
1,27051	0,99609
1,28059	0,99609
1,29068	1,00098
1,30076	0,99121
1,31085	1,00098
1,32093	0,99121
1,33101	0,99609
1,34110	1,00098
1,35118	0,99609
1,36126	0,99609
1,37135	0,99121
1,38143	0,99121
1,39151	1,00098
1,40160	0,99609
1,41168	1,00098
1,42176	1,00586
1,43185	0,99609
1,44193	1,00098
1,45201	0,99121
1,46210	0,99609
1,47218	0,99609
1,48226	0,99609
1,49235	1,00098
1,50243	1,00098
1,51251	0,99609
1,52260	0,99609
1,53268	0,99609
1,54276	0,99121
1,55285	1,00586
1,56293	0,99609
1,57301	0,99609
1,58310	0,99609
1,59318	0,99609
1,60326	0,99609
1,61335	0,99609
1,62343	0,99609
1,63351	1,00098
1,64360	0,99609
1,65368	1,00098
1,66377	0,99609
1,67385	0,99121
1,68393	1,00098
1,69402	0,99609
1,70410	0,99609
1,71418	0,99609
1,72427	0,99609
