t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.268291
"176,367p",0.512192
"352,734p",0.731703
"529,101p",0.585362
"705,467p",0.609752
"881,834p",0.707313
"1,0582n",0.536582
"1,23457n",0.682923
"1,41093n",0.609752
"1,5873n",0.951214
"1,76367n",0.853653
"1,94004n",1.34146
"2,1164n",1.09755
"2,29277n",1.43902
"2,46914n",2.75608
"2,6455n",4.95119
"2,82187n",8.24385
"2,99824n",16.2926
"3,1746n",30.0974
"3,35097n",59.7557
"3,52734n",109.073
"3,7037n",191.487
"3,88007n",319.803
"4,05644n",469.119
"4,2328n",524.802
"4,40917n",468.631
"4,58554n",324.047
"4,7619n",203.121
"4,93827n",121.536
"5,11464n",74.78
"5,29101n",45.8046
"5,46737n",30.1218
"5,64374n",19.4877
"5,82011n",12.9024
"5,99647n",9.70726
"6,17284n",6.99996
"6,34921n",5.09753
"6,52557n",3.90242
"6,70194n",3.439
"6,87831n",2.58535
"7,05467n",2.09755
"7,23104n",1.58536
"7,40741n",1.31707
"7,58377n",1.2195
"7,76014n",1.04877
"7,93651n",0.804873
"8,11287n",0.658533
"8,28924n",0.780483
"8,46561n",0.512192
"8,64198n",0.756093
"8,81834n",0.341461
"8,99471n",0.682923
"9,17108n",0.780483
"9,34744n",0.707313
"9,52381n",0.756093
"9,70018n",0.536582
"9,87654n",0.585362
