t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,2.30876
"176,367p",8.12978
"352,734p",8.52276
"529,101p",8.39995
"705,467p",7.90873
"881,834p",9.13679
"1,0582n",8.74381
"1,23457n",8.81749
"1,41093n",9.30872
"1,5873n",9.40696
"1,76367n",9.75082
"1,94004n",10.5613
"2,1164n",11.7157
"2,29277n",16.8981
"2,46914n",28.2946
"2,6455n",48.2874
"2,82187n",87.3398
"2,99824n",156.382
"3,1746n",272.679
"3,35097n",478.969
"3,52734n",735.389
"3,7037n",1047.91
"3,88007n",1425.56
"4,05644n",1760.28
"4,2328n",1819.13
"4,40917n",1611.73
"4,58554n",1204.53
"4,7619n",856.623
"4,93827n",582.618
"5,11464n",389.566
"5,29101n",258.507
"5,46737n",162.866
"5,64374n",108.02
"5,82011n",73.7329
"5,99647n",50.5225
"6,17284n",38.07
"6,34921n",29.1542
"6,52557n",24.07
"6,70194n",19.6981
"6,87831n",16.3824
"7,05467n",13.2876
"7,23104n",12.3052
"7,40741n",11.028
"7,58377n",9.92275
"7,76014n",10.2666
"7,93651n",9.92275
"8,11287n",8.9403
"8,28924n",8.71925
"8,46561n",7.68767
"8,64198n",8.57188
"8,81834n",8.37539
"8,99471n",8.22802
"9,17108n",7.88416
"9,34744n",8.12978
"9,52381n",7.27013
"9,70018n",7.12276
"9,87654n",8.32627
