t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.61468
"176,367p",14.4345
"352,734p",14.0706
"529,101p",13.0032
"705,467p",13.6824
"881,834p",14.0706
"1,0582n",15.2108
"1,23457n",15.5989
"1,41093n",15.5504
"1,5873n",15.6475
"1,76367n",15.9143
"1,94004n",19.5533
"2,1164n",18.874
"2,29277n",25.1087
"2,46914n",40.4893
"2,6455n",71.3476
"2,82187n",133.113
"2,99824n",239.151
"3,1746n",410.182
"3,35097n",692.612
"3,52734n",1046.34
"3,7037n",1425.3
"3,88007n",1861.37
"4,05644n",2224.34
"4,2328n",2260.22
"4,40917n",1999.99
"4,58554n",1537.53
"4,7619n",1138.31
"4,93827n",788.025
"5,11464n",537.108
"5,29101n",357.49
"5,46737n",228.235
"5,64374n",152.545
"5,82011n",107.47
"5,99647n",69.6979
"6,17284n",52.9102
"6,34921n",42.5999
"6,52557n",33.3327
"6,70194n",28.5536
"6,87831n",24.5022
"7,05467n",22.5372
"7,23104n",19.2136
"7,40741n",18.8012
"7,58377n",16.7149
"7,76014n",16.6906
"7,93651n",13.6582
"8,11287n",14.7013
"8,28924n",14.9439
"8,46561n",14.1676
"8,64198n",12.9789
"8,81834n",13.828
"8,99471n",14.1676
"9,17108n",13.2215
"9,34744n",13.6824
"9,52381n",13.5126
"9,70018n",14.2647
"9,87654n",13.5126
