t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,4.53879
"176,367p",16.3348
"352,734p",17.1843
"529,101p",17.7911
"705,467p",18.6649
"881,834p",16.6018
"1,0582n",16.6261
"1,23457n",16.4804
"1,41093n",18.0824
"1,5873n",17.8639
"1,76367n",18.3251
"1,94004n",19.6843
"2,1164n",22.1114
"2,29277n",25.825
"2,46914n",37.4511
"2,6455n",62.4751
"2,82187n",108.446
"2,99824n",194.367
"3,1746n",337.521
"3,35097n",580.917
"3,52734n",875.016
"3,7037n",1245.26
"3,88007n",1654.47
"4,05644n",2038.79
"4,2328n",2149.76
"4,40917n",2020.05
"4,58554n",1640.96
"4,7619n",1261.27
"4,93827n",923.365
"5,11464n",644.071
"5,29101n",426.865
"5,46737n",284.293
"5,64374n",184.95
"5,82011n",126.504
"5,99647n",84.7807
"6,17284n",63.0334
"6,34921n",50.0966
"6,52557n",40.5579
"6,70194n",35.0239
"6,87831n",29.2716
"7,05467n",26.6502
"7,23104n",23.2279
"7,40741n",22.3784
"7,58377n",20.9707
"7,76014n",19.9755
"7,93651n",17.2571
"8,11287n",18.9076
"8,28924n",16.6746
"8,46561n",17.9124
"8,64198n",17.6455
"8,81834n",16.9901
"8,99471n",16.6503
"9,17108n",17.5241
"9,34744n",16.0193
"9,52381n",16.4319
"9,70018n",16.9173
"9,87654n",15.2668
