t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.073172
"176,367p",0.560986
"352,734p",0.390251
"529,101p",0.536595
"705,467p",0.463423
"881,834p",0.536595
"1,0582n",0.585376
"1,23457n",0.439032
"1,41093n",0.414642
"1,5873n",0.439032
"1,76367n",0.634158
"1,94004n",0.70733
"2,1164n",0.658548
"2,29277n",1.17075
"2,46914n",1.87808
"2,6455n",3.00005
"2,82187n",6.12206
"2,99824n",10.5856
"3,1746n",21.9028
"3,35097n",42.5861
"3,52734n",81.5624
"3,7037n",153.003
"3,88007n",265.371
"4,05644n",390.665
"4,2328n",436.666
"4,40917n",389.519
"4,58554n",273.151
"4,7619n",163.442
"4,93827n",96.3432
"5,11464n",57.3181
"5,29101n",34.8055
"5,46737n",23.7321
"5,64374n",14.9271
"5,82011n",11.488
"5,99647n",7.19525
"6,17284n",5.78059
"6,34921n",3.82934
"6,52557n",2.85371
"6,70194n",2.53663
"6,87831n",1.68296
"7,05467n",1.48783
"7,23104n",1.24392
"7,40741n",0.73172
"7,58377n",0.902455
"7,76014n",0.658548
"7,93651n",0.682939
"8,11287n",0.512204
"8,28924n",0.536595
"8,46561n",0.219516
"8,64198n",0.512204
"8,81834n",0.414642
"8,99471n",0.487814
"9,17108n",0.536595
"9,34744n",0.463423
"9,52381n",0.439032
"9,70018n",0.487814
"9,87654n",0.585376
