t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.16332
"176,367p",4.77703
"352,734p",4.20774
"529,101p",4.3315
"705,467p",4.60377
"881,834p",4.282
"1,0582n",4.50476
"1,23457n",4.40575
"1,41093n",4.77703
"1,5873n",4.99979
"1,76367n",5.59382
"1,94004n",5.79183
"2,1164n",5.94034
"2,29277n",7.22742
"2,46914n",12.8955
"2,6455n",22.4
"2,82187n",39.231
"2,99824n",69.304
"3,1746n",125.416
"3,35097n",232.094
"3,52734n",371.519
"3,7037n",577.797
"3,88007n",854.791
"4,05644n",1127.7
"4,2328n",1243.88
"4,40917n",1126.17
"4,58554n",862.934
"4,7619n",586.881
"4,93827n",395.082
"5,11464n",260.435
"5,29101n",171.552
"5,46737n",109.575
"5,64374n",71.6801
"5,82011n",49.4039
"5,99647n",32.8947
"6,17284n",24.7514
"6,34921n",19.4794
"6,52557n",15.3211
"6,70194n",12.153
"6,87831n",9.70256
"7,05467n",7.64819
"7,23104n",7.7967
"7,40741n",7.25217
"7,58377n",5.94034
"7,76014n",5.27205
"7,93651n",5.1978
"8,11287n",4.40575
"8,28924n",3.86122
"8,46561n",4.18299
"8,64198n",4.48001
"8,81834n",4.13349
"8,99471n",4.55426
"9,17108n",4.52951
"9,34744n",3.96023
"9,52381n",4.00973
"9,70018n",4.13349
"9,87654n",4.30675
