t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.300002
"176,367p",0.900007
"352,734p",0.850007
"529,101p",0.725006
"705,467p",0.850007
"881,834p",0.675005
"1,0582n",0.750006
"1,23457n",0.875007
"1,41093n",0.800006
"1,5873n",1.22501
"1,76367n",1.02501
"1,94004n",1.55001
"2,1164n",1.55001
"2,29277n",2.32502
"2,46914n",4.87504
"2,6455n",5.42504
"2,82187n",12.1751
"2,99824n",24.1002
"3,1746n",43.6253
"3,35097n",83.1756
"3,52734n",152.401
"3,7037n",260.927
"3,88007n",436.853
"4,05644n",608.305
"4,2328n",673.255
"4,40917n",590.005
"4,58554n",408.278
"4,7619n",251.652
"4,93827n",151.551
"5,11464n",93.0757
"5,29101n",59.2255
"5,46737n",36.6253
"5,64374n",24.2002
"5,82011n",17.4501
"5,99647n",11.9501
"6,17284n",7.70006
"6,34921n",6.70005
"6,52557n",5.45004
"6,70194n",3.55003
"6,87831n",2.77502
"7,05467n",2.20002
"7,23104n",2.52502
"7,40741n",2.07502
"7,58377n",1.00001
"7,76014n",1.25001
"7,93651n",1.02501
"8,11287n",1.05001
"8,28924n",1.05001
"8,46561n",0.825006
"8,64198n",1.07501
"8,81834n",0.675005
"8,99471n",0.675005
"9,17108n",0.850007
"9,34744n",0.575004
"9,52381n",0.675005
"9,70018n",0.500004
"9,87654n",0.900007
