t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.175004
"352,734p",0.125003
"529,101p",0.100003
"705,467p",0.125003
"881,834p",0.0500013
"1,0582n",0.125003
"1,23457n",0.125003
"1,41093n",0.0500013
"1,5873n",0.100003
"1,76367n",0.175004
"1,94004n",0.250006
"2,1164n",0.125003
"2,29277n",0.150004
"2,46914n",0.125003
"2,6455n",0.150004
"2,82187n",0.225006
"2,99824n",0.150004
"3,1746n",0.425011
"3,35097n",0.275007
"3,52734n",0.475012
"3,7037n",0.575015
"3,88007n",0.875022
"4,05644n",1.17503
"4,2328n",1.32503
"4,40917n",0.950024
"4,58554n",0.80002
"4,7619n",0.675017
"4,93827n",0.425011
"5,11464n",0.100003
"5,29101n",0.150004
"5,46737n",0.0750019
"5,64374n",0.150004
"5,82011n",0.275007
"5,99647n",0.100003
"6,17284n",0.175004
"6,34921n",0.150004
"6,52557n",0.125003
"6,70194n",0.100003
"6,87831n",0.0750019
"7,05467n",0.100003
"7,23104n",0.150004
"7,40741n",0.0500013
"7,58377n",0.0500013
"7,76014n",0.125003
"7,93651n",0.250006
"8,11287n",0.125003
"8,28924n",0.100003
"8,46561n",0.125003
"8,64198n",0.100003
"8,81834n",0.100003
"8,99471n",0.125003
"9,17108n",0.0250006
"9,34744n",0
"9,52381n",0.150004
"9,70018n",0.150004
"9,87654n",0.100003
