t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0
"352,734p",0
"529,101p",0.0490552
"705,467p",0.0245276
"881,834p",0.0245276
"1,0582n",0.0245276
"1,23457n",0.0245276
"1,41093n",0.0245276
"1,5873n",0.0490552
"1,76367n",0.0735828
"1,94004n",0.0245276
"2,1164n",0.0735828
"2,29277n",0.0735828
"2,46914n",0.196221
"2,6455n",0.147166
"2,82187n",0.196221
"2,99824n",0.367914
"3,1746n",0.416969
"3,35097n",0.735828
"3,52734n",1.34902
"3,7037n",1.91315
"3,88007n",3.21312
"4,05644n",4.66025
"4,2328n",5.1508
"4,40917n",4.83194
"4,58554n",3.06595
"4,7619n",2.03579
"4,93827n",0.833939
"5,11464n",0.539607
"5,29101n",0.343386
"5,46737n",0.0735828
"5,64374n",0.0735828
"5,82011n",0
"5,99647n",0
"6,17284n",0.0490552
"6,34921n",0
"6,52557n",0.0245276
"6,70194n",0
"6,87831n",0
"7,05467n",0
"7,23104n",0
"7,40741n",0.0245276
"7,58377n",0.0245276
"7,76014n",0.0245276
"7,93651n",0
"8,11287n",0.0245276
"8,28924n",0.0245276
"8,46561n",0
"8,64198n",0
"8,81834n",0
"8,99471n",0.0245276
"9,17108n",0
"9,34744n",0
"9,52381n",0
"9,70018n",0
"9,87654n",0
