t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,8.32786
"176,367p",28.1642
"352,734p",29.5724
"529,101p",28.0913
"705,467p",28.407
"881,834p",30.0094
"1,0582n",30.3979
"1,23457n",30.7864
"1,41093n",32.316
"1,5873n",32.0975
"1,76367n",35.2781
"1,94004n",35.9822
"2,1164n",40.401
"2,29277n",45.694
"2,46914n",53.7062
"2,6455n",67.6183
"2,82187n",90.6595
"2,99824n",118.994
"3,1746n",158.254
"3,35097n",220.725
"3,52734n",284.215
"3,7037n",337.97
"3,88007n",396.532
"4,05644n",433.947
"4,2328n",429.067
"4,40917n",394.76
"4,58554n",319.396
"4,7619n",255.299
"4,93827n",188.02
"5,11464n",127.37
"5,29101n",83.0115
"5,46737n",56.3769
"5,64374n",41.8821
"5,82011n",34.6468
"5,99647n",30.3493
"6,17284n",28.5041
"6,34921n",27.2658
"6,52557n",27.1444
"6,70194n",25.7362
"6,87831n",27.7757
"7,05467n",28.1156
"7,23104n",28.8926
"7,40741n",27.193
"7,58377n",27.4844
"7,76014n",27.4844
"7,93651n",27.2901
"8,11287n",27.6786
"8,28924n",29.5967
"8,46561n",27.8
"8,64198n",26.586
"8,81834n",26.586
"8,99471n",28.0428
"9,17108n",24.9836
"9,34744n",27.8243
"9,52381n",27.1687
"9,70018n",27.0473
"9,87654n",27.023
