t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.45042
"176,367p",5.60503
"352,734p",6.61295
"529,101p",6.76045
"705,467p",6.71129
"881,834p",6.85879
"1,0582n",7.79296
"1,23457n",7.57171
"1,41093n",8.45671
"1,5873n",8.16171
"1,76367n",8.21088
"1,94004n",9.73506
"2,1164n",11.2346
"2,29277n",13.693
"2,46914n",19.1014
"2,6455n",22.4939
"2,82187n",30.8277
"2,99824n",45.2582
"3,1746n",60.7458
"3,35097n",91.4751
"3,52734n",126.039
"3,7037n",166.922
"3,88007n",227.323
"4,05644n",279.637
"4,2328n",290.577
"4,40917n",265.28
"4,58554n",206.182
"4,7619n",147.747
"4,93827n",101.087
"5,11464n",59.8608
"5,29101n",36.6294
"5,46737n",23.3543
"5,64374n",16.7168
"5,82011n",10.8659
"5,99647n",8.1863
"6,17284n",6.44087
"6,34921n",7.05546
"6,52557n",6.17045
"6,70194n",6.66212
"6,87831n",6.0967
"7,05467n",5.90003
"7,23104n",6.12128
"7,40741n",6.41629
"7,58377n",5.85087
"7,76014n",5.82628
"7,93651n",5.75253
"8,11287n",6.29337
"8,28924n",5.85087
"8,46561n",6.26879
"8,64198n",6.04753
"8,81834n",5.87545
"8,99471n",5.60503
"9,17108n",5.82628
"9,34744n",5.82628
"9,52381n",6.73587
"9,70018n",6.0967
"9,87654n",5.40836
