t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0500023
"176,367p",0.100005
"352,734p",0.22501
"529,101p",0.275012
"705,467p",0.22501
"881,834p",0.325015
"1,0582n",0.350016
"1,23457n",0.0750034
"1,41093n",0.175008
"1,5873n",0.250011
"1,76367n",0.325015
"1,94004n",0.22501
"2,1164n",0.350016
"2,29277n",0.200009
"2,46914n",0.22501
"2,6455n",0.200009
"2,82187n",0.475021
"2,99824n",0.475021
"3,1746n",0.500023
"3,35097n",0.925042
"3,52734n",0.800036
"3,7037n",1.50007
"3,88007n",1.95009
"4,05644n",2.55012
"4,2328n",3.17514
"4,40917n",2.90013
"4,58554n",1.67508
"4,7619n",1.07505
"4,93827n",0.825037
"5,11464n",0.525024
"5,29101n",0.325015
"5,46737n",0.250011
"5,64374n",0.350016
"5,82011n",0.22501
"5,99647n",0.250011
"6,17284n",0.100005
"6,34921n",0.275012
"6,52557n",0.150007
"6,70194n",0.22501
"6,87831n",0.200009
"7,05467n",0.22501
"7,23104n",0.175008
"7,40741n",0.250011
"7,58377n",0.22501
"7,76014n",0.22501
"7,93651n",0.250011
"8,11287n",0.300014
"8,28924n",0.0500023
"8,46561n",0.275012
"8,64198n",0.350016
"8,81834n",0.325015
"8,99471n",0.350016
"9,17108n",0.250011
"9,34744n",0.350016
"9,52381n",0.300014
"9,70018n",0.200009
"9,87654n",0.325015
