t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.29358
"176,367p",11.7154
"352,734p",11.848
"529,101p",12.4891
"705,467p",11.8701
"881,834p",12.3122
"1,0582n",12.6659
"1,23457n",13.0196
"1,41093n",12.4228
"1,5873n",12.7322
"1,76367n",13.3512
"1,94004n",12.5112
"2,1164n",13.3512
"2,29277n",13.5059
"2,46914n",15.4069
"2,6455n",17.8605
"2,82187n",22.0161
"2,99824n",25.2213
"3,1746n",31.2116
"3,35097n",41.1145
"3,52734n",51.3489
"3,7037n",62.0696
"3,88007n",70.5577
"4,05644n",80.8143
"4,2328n",80.5711
"4,40917n",74.9787
"4,58554n",61.8928
"4,7619n",49.8679
"4,93827n",36.8483
"5,11464n",27.0781
"5,29101n",20.9109
"5,46737n",16.269
"5,64374n",14.5669
"5,82011n",12.9975
"5,99647n",11.4723
"6,17284n",11.0744
"6,34921n",11.5165
"6,52557n",10.8312
"6,70194n",12.6659
"6,87831n",12.1796
"7,05467n",12.268
"7,23104n",11.6712
"7,40741n",12.0691
"7,58377n",11.207
"7,76014n",12.047
"7,93651n",11.8259
"8,11287n",12.1575
"8,28924n",11.848
"8,46561n",11.3617
"8,64198n",11.406
"8,81834n",11.9807
"8,99471n",10.9197
"9,17108n",12.5554
"9,34744n",11.7817
"9,52381n",12.5554
"9,70018n",11.627
"9,87654n",11.5828
