t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.0500009
"352,734p",0.150003
"529,101p",0.0250005
"705,467p",0.0500009
"881,834p",0.0500009
"1,0582n",0.125002
"1,23457n",0.175003
"1,41093n",0.0750014
"1,5873n",0.250005
"1,76367n",0.100002
"1,94004n",0.325006
"2,1164n",0.500009
"2,29277n",0.52501
"2,46914n",0.700013
"2,6455n",0.850016
"2,82187n",1.35003
"2,99824n",2.27504
"3,1746n",2.65005
"3,35097n",4.75009
"3,52734n",7.67514
"3,7037n",12.8002
"3,88007n",20.3004
"4,05644n",28.0505
"4,2328n",30.8256
"4,40917n",26.5505
"4,58554n",19.6504
"4,7619n",12.0502
"4,93827n",5.92511
"5,11464n",3.02506
"5,29101n",1.45003
"5,46737n",0.750014
"5,64374n",0.475009
"5,82011n",0.275005
"5,99647n",0.125002
"6,17284n",0.125002
"6,34921n",0.100002
"6,52557n",0.0500009
"6,70194n",0.100002
"6,87831n",0.0500009
"7,05467n",0.100002
"7,23104n",0.125002
"7,40741n",0.0500009
"7,58377n",0.0750014
"7,76014n",0.0250005
"7,93651n",0.0750014
"8,11287n",0.125002
"8,28924n",0.0500009
"8,46561n",0.0500009
"8,64198n",0.0250005
"8,81834n",0.0750014
"8,99471n",0.0750014
"9,17108n",0.0500009
"9,34744n",0.0750014
"9,52381n",0.150003
"9,70018n",0.100002
"9,87654n",0.100002
