t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.26644
"176,367p",6.50996
"352,734p",6.57661
"529,101p",6.84323
"705,467p",6.53218
"881,834p",6.35443
"1,0582n",7.70974
"1,23457n",7.17651
"1,41093n",8.13189
"1,5873n",8.28742
"1,76367n",8.55404
"1,94004n",9.64273
"2,1164n",10.9758
"2,29277n",12.931
"2,46914n",16.797
"2,6455n",21.2851
"2,82187n",27.6618
"2,99824n",39.4375
"3,1746n",54.3237
"3,35097n",77.1863
"3,52734n",105.248
"3,7037n",133.354
"3,88007n",172.569
"4,05644n",208.452
"4,2328n",218.672
"4,40917n",190.766
"4,58554n",148.951
"4,7619n",105.492
"4,93827n",69.2544
"5,11464n",44.7921
"5,29101n",28.5505
"5,46737n",18.1523
"5,64374n",12.42
"5,82011n",8.17633
"5,99647n",6.62105
"6,17284n",6.02115
"6,34921n",6.64327
"6,52557n",6.70992
"6,70194n",6.11003
"6,87831n",6.4433
"7,05467n",5.64344
"7,23104n",6.50996
"7,40741n",6.28777
"7,58377n",5.39904
"7,76014n",5.55457
"7,93651n",6.04337
"8,11287n",6.39887
"8,28924n",5.55457
"8,46561n",5.91006
"8,64198n",6.50996
"8,81834n",6.15446
"8,99471n",6.57661
"9,17108n",6.50996
"9,34744n",6.30999
"9,52381n",6.39887
"9,70018n",6.26556
"9,87654n",6.55439
