t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.0238139
"352,734p",0
"529,101p",0.0238139
"705,467p",0.0476277
"881,834p",0.0476277
"1,0582n",0
"1,23457n",0.0952555
"1,41093n",0.0238139
"1,5873n",0.119069
"1,76367n",0.0238139
"1,94004n",0.0952555
"2,1164n",0.0714416
"2,29277n",0.0714416
"2,46914n",0.0714416
"2,6455n",0.119069
"2,82187n",0.166697
"2,99824n",0.285766
"3,1746n",0.381022
"3,35097n",0.809672
"3,52734n",1.47646
"3,7037n",1.85748
"3,88007n",2.78622
"4,05644n",4.14361
"4,2328n",4.40557
"4,40917n",4.23887
"4,58554n",2.76241
"4,7619n",1.59553
"4,93827n",0.595347
"5,11464n",0.333394
"5,29101n",0.0952555
"5,46737n",0.166697
"5,64374n",0
"5,82011n",0.0238139
"5,99647n",0.0238139
"6,17284n",0
"6,34921n",0
"6,52557n",0
"6,70194n",0
"6,87831n",0
"7,05467n",0.0476277
"7,23104n",0
"7,40741n",0
"7,58377n",0.0238139
"7,76014n",0
"7,93651n",0.0238139
"8,11287n",0
"8,28924n",0
"8,46561n",0
"8,64198n",0
"8,81834n",0
"8,99471n",0
"9,17108n",0
"9,34744n",0.0714416
"9,52381n",0
"9,70018n",0
"9,87654n",0
