t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.77607
"176,367p",7.40415
"352,734p",7.05816
"529,101p",6.96589
"705,467p",7.21962
"881,834p",7.19655
"1,0582n",7.42721
"1,23457n",7.54254
"1,41093n",7.54254
"1,5873n",7.35801
"1,76367n",8.11919
"1,94004n",7.28882
"2,1164n",7.95773
"2,29277n",9.13409
"2,46914n",9.94139
"2,6455n",11.1639
"2,82187n",12.2249
"2,99824n",14.8544
"3,1746n",17.4609
"3,35097n",22.8813
"3,52734n",29.6858
"3,7037n",37.8511
"3,88007n",45.509
"4,05644n",54.3893
"4,2328n",55.1736
"4,40917n",50.768
"4,58554n",42.8795
"4,7619n",31.6694
"4,93827n",23.804
"5,11464n",16.2153
"5,29101n",12.9169
"5,46737n",10.3796
"5,64374n",7.12736
"5,82011n",7.68094
"5,99647n",7.10429
"6,17284n",7.51947
"6,34921n",7.10429
"6,52557n",6.45844
"6,70194n",7.15042
"6,87831n",6.50458
"7,05467n",6.87363
"7,23104n",7.19655
"7,40741n",7.05816
"7,58377n",6.7583
"7,76014n",7.35801
"7,93651n",6.52764
"8,11287n",7.17349
"8,28924n",6.59684
"8,46561n",6.06632
"8,64198n",6.98896
"8,81834n",6.85056
"8,99471n",7.08122
"9,17108n",7.33495
"9,34744n",6.38925
"9,52381n",6.7583
"9,70018n",6.45844
"9,87654n",7.10429
