t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.194389
"176,367p",0.971943
"352,734p",1.11773
"529,101p",0.996241
"705,467p",1.04484
"881,834p",0.996241
"1,0582n",1.09344
"1,23457n",0.947644
"1,41093n",1.33642
"1,5873n",1.14203
"1,76367n",1.40932
"1,94004n",0.947644
"2,1164n",1.04484
"2,29277n",1.45791
"2,46914n",1.43362
"2,6455n",1.21493
"2,82187n",1.7009
"2,99824n",2.13827
"3,1746n",2.50275
"3,35097n",3.66908
"3,52734n",4.27655
"3,7037n",6.22043
"3,88007n",8.5045
"4,05644n",9.76802
"4,2328n",11.3231
"4,40917n",8.79608
"4,58554n",7.07088
"4,7619n",5.32139
"4,93827n",3.28031
"5,11464n",2.52705
"5,29101n",1.84669
"5,46737n",1.50651
"5,64374n",1.06914
"5,82011n",1.26353
"5,99647n",0.923345
"6,17284n",0.971943
"6,34921n",1.09344
"6,52557n",0.923345
"6,70194n",0.971943
"6,87831n",0.68036
"7,05467n",0.656061
"7,23104n",0.801853
"7,40741n",0.85045
"7,58377n",0.971943
"7,76014n",1.19063
"7,93651n",1.19063
"8,11287n",1.02054
"8,28924n",0.874748
"8,46561n",0.996241
"8,64198n",1.40932
"8,81834n",0.923345
"8,99471n",0.68036
"9,17108n",0.971943
"9,34744n",0.704658
"9,52381n",0.728957
"9,70018n",1.02054
"9,87654n",1.04484
