t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.87541
"176,367p",14.3979
"352,734p",13.3677
"529,101p",13.8338
"705,467p",14.2998
"881,834p",14.2998
"1,0582n",14.2753
"1,23457n",15.3545
"1,41093n",14.3979
"1,5873n",15.1583
"1,76367n",15.0601
"1,94004n",15.2809
"2,1164n",16.5809
"2,29277n",18.0035
"2,46914n",18.1997
"2,6455n",22.4185
"2,82187n",26.6864
"2,99824n",32.4504
"3,1746n",40.7409
"3,35097n",54.3784
"3,52734n",69.4386
"3,7037n",86.1176
"3,88007n",107.187
"4,05644n",121.119
"4,2328n",122.125
"4,40917n",114.472
"4,58554n",92.6665
"4,7619n",74.5404
"4,93827n",53.5199
"5,11464n",39.073
"5,29101n",28.2071
"5,46737n",22.811
"5,64374n",17.6846
"5,82011n",15.379
"5,99647n",14.8639
"6,17284n",12.9753
"6,34921n",14.3488
"6,52557n",13.9319
"6,70194n",14.1036
"6,87831n",13.7356
"7,05467n",14.03
"7,23104n",14.03
"7,40741n",14.2753
"7,58377n",13.4658
"7,76014n",14.9375
"7,93651n",13.147
"8,11287n",14.1771
"8,28924n",15.3054
"8,46561n",15.1583
"8,64198n",14.8394
"8,81834n",13.9564
"8,99471n",13.2941
"9,17108n",14.9375
"9,34744n",13.5149
"9,52381n",14.4469
"9,70018n",14.2753
"9,87654n",13.8583
