t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.414639
"176,367p",1.85368
"352,734p",1.85368
"529,101p",2.48784
"705,467p",2.02442
"881,834p",2.36588
"1,0582n",1.90246
"1,23457n",2.80491
"1,41093n",2.87808
"1,5873n",3.26833
"1,76367n",3.04882
"1,94004n",3.46346
"2,1164n",4.19517
"2,29277n",4.75616
"2,46914n",6.39032
"2,6455n",8.21961
"2,82187n",11.0977
"2,99824n",15.8782
"3,1746n",21.8051
"3,35097n",31.9516
"3,52734n",47.025
"3,7037n",67.7325
"3,88007n",89.806
"4,05644n",114.001
"4,2328n",118.611
"4,40917n",106.904
"4,58554n",76.9034
"4,7619n",51.3421
"4,93827n",31.2931
"5,11464n",16.9026
"5,29101n",11.1465
"5,46737n",6.17081
"5,64374n",4.19517
"5,82011n",2.48784
"5,99647n",2.39027
"6,17284n",2.04881
"6,34921n",2.14637
"6,52557n",1.73173
"6,70194n",1.73173
"6,87831n",1.90246
"7,05467n",2.36588
"7,23104n",1.68295
"7,40741n",1.8049
"7,58377n",2.14637
"7,76014n",2.19515
"7,93651n",1.85368
"8,11287n",1.8049
"8,28924n",2.0732
"8,46561n",1.31709
"8,64198n",2.00002
"8,81834n",1.2927
"8,99471n",2.12198
"9,17108n",2.0732
"9,34744n",1.68295
"9,52381n",2.14637
"9,70018n",1.8049
"9,87654n",1.48782
