t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.121953
"176,367p",0.634153
"352,734p",0.536591
"529,101p",0.560982
"705,467p",0.48781
"881,834p",0.731715
"1,0582n",0.609763
"1,23457n",0.536591
"1,41093n",0.512201
"1,5873n",0.560982
"1,76367n",0.829277
"1,94004n",0.95123
"2,1164n",1.12196
"2,29277n",1.73173
"2,46914n",3.21955
"2,6455n",5.07323
"2,82187n",7.68301
"2,99824n",16.2929
"3,1746n",32.8052
"3,35097n",64.0739
"3,52734n",117.172
"3,7037n",208.832
"3,88007n",339.321
"4,05644n",497.688
"4,2328n",560.104
"4,40917n",489.786
"4,58554n",338.931
"4,7619n",211.612
"4,93827n",122.001
"5,11464n",72.9032
"5,29101n",44.8785
"5,46737n",28.3174
"5,64374n",19.5856
"5,82011n",13.8782
"5,99647n",10.2684
"6,17284n",6.34153
"6,34921n",4.95127
"6,52557n",4.04882
"6,70194n",3.39028
"6,87831n",2.60978
"7,05467n",1.78051
"7,23104n",1.8049
"7,40741n",1.41465
"7,58377n",0.878058
"7,76014n",0.926839
"7,93651n",0.804887
"8,11287n",0.926839
"8,28924n",0.585372
"8,46561n",0.829277
"8,64198n",0.512201
"8,81834n",0.390248
"8,99471n",0.560982
"9,17108n",0.536591
"9,34744n",0.560982
"9,52381n",0.658544
"9,70018n",0.634153
"9,87654n",0.414639
