t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.442493
"176,367p",1.42581
"352,734p",1.74539
"529,101p",1.89288
"705,467p",1.76997
"881,834p",1.54872
"1,0582n",1.52414
"1,23457n",2.18788
"1,41093n",2.06497
"1,5873n",2.08955
"1,76367n",3.07286
"1,94004n",3.19578
"2,1164n",4.35118
"2,29277n",4.40034
"2,46914n",5.99823
"2,6455n",7.64529
"2,82187n",11.0131
"2,99824n",16.5935
"3,1746n",22.3705
"3,35097n",36.2844
"3,52734n",51.3537
"3,7037n",76.5758
"3,88007n",107.993
"4,05644n",142.065
"4,2328n",153.152
"4,40917n",140.958
"4,58554n",104.699
"4,7619n",67.603
"4,93827n",41.5943
"5,11464n",22.4442
"5,29101n",13.0289
"5,46737n",8.94818
"5,64374n",5.33449
"5,82011n",3.29411
"5,99647n",2.21246
"6,17284n",1.7208
"6,34921n",1.59789
"6,52557n",1.20456
"6,70194n",1.57331
"6,87831n",1.59789
"7,05467n",1.62247
"7,23104n",1.17998
"7,40741n",1.57331
"7,58377n",1.59789
"7,76014n",1.25373
"7,93651n",1.45039
"8,11287n",1.52414
"8,28924n",1.57331
"8,46561n",1.45039
"8,64198n",1.17998
"8,81834n",1.45039
"8,99471n",1.42581
"9,17108n",1.47498
"9,34744n",1.45039
"9,52381n",1.42581
"9,70018n",1.27831
"9,87654n",1.05707
