t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.100001
"176,367p",0.600006
"352,734p",0.450005
"529,101p",0.475005
"705,467p",0.450005
"881,834p",0.450005
"1,0582n",0.575006
"1,23457n",0.650007
"1,41093n",0.725007
"1,5873n",0.750008
"1,76367n",1.10001
"1,94004n",0.95001
"2,1164n",1.07501
"2,29277n",1.30001
"2,46914n",1.85002
"2,6455n",2.57503
"2,82187n",3.67504
"2,99824n",4.60005
"3,1746n",6.77507
"3,35097n",10.1001
"3,52734n",18.1002
"3,7037n",23.9502
"3,88007n",37.1004
"4,05644n",48.5005
"4,2328n",50.3505
"4,40917n",45.7255
"4,58554n",31.1003
"4,7619n",18.7252
"4,93827n",9.9751
"5,11464n",5.82506
"5,29101n",2.52503
"5,46737n",1.67502
"5,64374n",0.875009
"5,82011n",0.850009
"5,99647n",0.525005
"6,17284n",0.325003
"6,34921n",0.250003
"6,52557n",0.325003
"6,70194n",0.275003
"6,87831n",0.500005
"7,05467n",0.325003
"7,23104n",0.475005
"7,40741n",0.400004
"7,58377n",0.375004
"7,76014n",0.500005
"7,93651n",0.350004
"8,11287n",0.325003
"8,28924n",0.225002
"8,46561n",0.275003
"8,64198n",0.400004
"8,81834n",0.500005
"8,99471n",0.300003
"9,17108n",0.450005
"9,34744n",0.500005
"9,52381n",0.400004
"9,70018n",0.550006
"9,87654n",0.250003
