t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0465118
"176,367p",0.116279
"352,734p",0.139535
"529,101p",0.0465118
"705,467p",0.139535
"881,834p",0.186047
"1,0582n",0.116279
"1,23457n",0.0930235
"1,41093n",0.0697677
"1,5873n",0.116279
"1,76367n",0.0930235
"1,94004n",0.116279
"2,1164n",0.0697677
"2,29277n",0.162791
"2,46914n",0.0697677
"2,6455n",0.162791
"2,82187n",0.186047
"2,99824n",0.139535
"3,1746n",0.209303
"3,35097n",0.279071
"3,52734n",0.418606
"3,7037n",0.604653
"3,88007n",1.06977
"4,05644n",0.860468
"4,2328n",1.41861
"4,40917n",1.09303
"4,58554n",0.90698
"4,7619n",0.488374
"4,93827n",0.372094
"5,11464n",0.279071
"5,29101n",0.139535
"5,46737n",0.0930235
"5,64374n",0.116279
"5,82011n",0.162791
"5,99647n",0.116279
"6,17284n",0.116279
"6,34921n",0.116279
"6,52557n",0.0465118
"6,70194n",0.0697677
"6,87831n",0.0930235
"7,05467n",0.139535
"7,23104n",0.0697677
"7,40741n",0.0930235
"7,58377n",0.0930235
"7,76014n",0.116279
"7,93651n",0.0930235
"8,11287n",0.0930235
"8,28924n",0.0465118
"8,46561n",0.0697677
"8,64198n",0.0465118
"8,81834n",0.0930235
"8,99471n",0.116279
"9,17108n",0.0697677
"9,34744n",0.0697677
"9,52381n",0.0465118
"9,70018n",0.0697677
"9,87654n",0.0697677
