t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.536586
"176,367p",1.70732
"352,734p",2.21952
"529,101p",2.5122
"705,467p",2.53659
"881,834p",2.02439
"1,0582n",2.46342
"1,23457n",2.48781
"1,41093n",3.31708
"1,5873n",2.87805
"1,76367n",3.68293
"1,94004n",4.09757
"2,1164n",4.65855
"2,29277n",4.92684
"2,46914n",6.60977
"2,6455n",9.02441
"2,82187n",11.5122
"2,99824n",16.1952
"3,1746n",23.4391
"3,35097n",35.9269
"3,52734n",50.5611
"3,7037n",71.5367
"3,88007n",99.7319
"4,05644n",123.708
"4,2328n",133.049
"4,40917n",112
"4,58554n",84.927
"4,7619n",54.1464
"4,93827n",33.9269
"5,11464n",19.6098
"5,29101n",11.6342
"5,46737n",6.07318
"5,64374n",4.21952
"5,82011n",3.12196
"5,99647n",2.14635
"6,17284n",2.2683
"6,34921n",2.02439
"6,52557n",1.87805
"6,70194n",1.63415
"6,87831n",2.2683
"7,05467n",1.87805
"7,23104n",1.70732
"7,40741n",2.12196
"7,58377n",1.87805
"7,76014n",1.78049
"7,93651n",1.58537
"8,11287n",2.19513
"8,28924n",1.90244
"8,46561n",1.65854
"8,64198n",1.70732
"8,81834n",1.97561
"8,99471n",1.73171
"9,17108n",1.70732
"9,34744n",1.90244
"9,52381n",1.85366
"9,70018n",2.12196
"9,87654n",1.63415
