Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
3881,"10,675k",3881,"9,258k",3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,74,3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,0,3881,"2,7k",3881,"2,3k"
3882,"10,425k",3882,"9,272k",3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,61,3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,0,3882,"2,7k",3882,"2,3k"
3883,"10,515k",3883,"9,193k",3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,68,3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,0,3883,"2,7k",3883,"2,3k"
3884,"10,38k",3884,"9,139k",3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,64,3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,0,3884,"2,7k",3884,"2,3k"
3885,"10,681k",3885,"9,132k",3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,57,3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,0,3885,"2,7k",3885,"2,3k"
3886,"10,863k",3886,"9,141k",3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,66,3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,0,3886,"2,7k",3886,"2,3k"
3887,"10,576k",3887,"9,175k",3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,79,3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,0,3887,"2,7k",3887,"2,3k"
3888,"10,633k",3888,"9,133k",3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,62,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,"2,7k",3888,"2,3k"
3889,"10,589k",3889,"9,121k",3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,70,3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,0,3889,"2,7k",3889,"2,3k"
3890,"10,749k",3890,"9,188k",3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,53,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,"2,7k",3890,"2,3k"
3891,"10,927k",3891,"9,183k",3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,73,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,"2,7k",3891,"2,3k"
3892,"10,512k",3892,"9,205k",3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,72,3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,0,3892,"2,7k",3892,"2,3k"
3893,"10,836k",3893,"9,107k",3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,63,3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,0,3893,"2,7k",3893,"2,3k"
3894,"10,477k",3894,"9,087k",3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,55,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,"2,7k",3894,"2,3k"
3895,"10,788k",3895,"9,216k",3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,93,3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,0,3895,"2,7k",3895,"2,3k"
3896,"10,858k",3896,"9,195k",3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,69,3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,0,3896,"2,7k",3896,"2,3k"
3897,"10,743k",3897,"8,964k",3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,72,3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,0,3897,"2,7k",3897,"2,3k"
3898,"10,741k",3898,"9,096k",3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,81,3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,0,3898,"2,7k",3898,"2,3k"
3899,"10,707k",3899,"9,154k",3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,63,3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,0,3899,"2,7k",3899,"2,3k"
3900,"10,778k",3900,"9,096k",3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,53,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,"2,7k",3900,"2,3k"
3901,"10,704k",3901,"9,221k",3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,59,3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,0,3901,"2,7k",3901,"2,3k"
3902,"10,448k",3902,"9,239k",3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,75,3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,0,3902,"2,7k",3902,"2,3k"
3903,"10,691k",3903,"9,161k",3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,61,3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,0,3903,"2,7k",3903,"2,3k"
3904,"10,701k",3904,"9,136k",3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,67,3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,0,3904,"2,7k",3904,"2,3k"
3905,"10,635k",3905,"9,188k",3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,81,3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,0,3905,"2,7k",3905,"2,3k"
3906,"10,754k",3906,"9,202k",3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,72,3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,0,3906,"2,7k",3906,"2,3k"
3907,"10,724k",3907,"9,134k",3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,59,3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,0,3907,"2,7k",3907,"2,3k"
3908,"10,848k",3908,"9,205k",3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,58,3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,0,3908,"2,7k",3908,"2,3k"
3909,"10,733k",3909,"9,14k",3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,77,3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,0,3909,"2,7k",3909,"2,3k"
3910,"10,675k",3910,"9,154k",3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,67,3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,0,3910,"2,7k",3910,"2,3k"
3911,"10,758k",3911,"9,273k",3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,75,3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,0,3911,"2,7k",3911,"2,3k"
3912,"10,679k",3912,"9,239k",3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,59,3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3912,"2,7k",3912,"2,3k"
3913,"10,636k",3913,"9,225k",3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,73,3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,0,3913,"2,7k",3913,"2,3k"
3914,"10,668k",3914,"9,568k",3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,51,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,"2,7k",3914,"2,3k"
3915,"10,644k",3915,"9,303k",3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,63,3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,0,3915,"2,7k",3915,"2,3k"
3916,"10,504k",3916,"9,08k",3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,62,3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,0,3916,"2,7k",3916,"2,3k"
3917,"10,686k",3917,"9,264k",3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,63,3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,0,3917,"2,7k",3917,"2,3k"
3918,"10,654k",3918,"9,055k",3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,65,3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,0,3918,"2,7k",3918,"2,3k"
3919,"10,622k",3919,"9,129k",3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,71,3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,0,3919,"2,7k",3919,"2,3k"
3920,"10,863k",3920,"9,264k",3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,77,3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,0,3920,"2,7k",3920,"2,3k"
3921,"10,704k",3921,"9,228k",3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,75,3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,0,3921,"2,7k",3921,"2,3k"
3922,"10,598k",3922,"9,199k",3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,60,3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,0,3922,"2,7k",3922,"2,3k"
3923,"10,626k",3923,"9,054k",3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,77,3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,0,3923,"2,7k",3923,"2,3k"
3924,"10,679k",3924,"9,18k",3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,68,3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,0,3924,"2,7k",3924,"2,3k"
3925,"10,666k",3925,"9,281k",3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,77,3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,0,3925,"2,7k",3925,"2,3k"
3926,"10,778k",3926,"9,054k",3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,67,3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,0,3926,"2,7k",3926,"2,3k"
3927,"10,594k",3927,"8,978k",3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,67,3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,0,3927,"2,7k",3927,"2,3k"
3928,"10,682k",3928,"9,176k",3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,61,3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,0,3928,"2,7k",3928,"2,3k"
3929,"10,661k",3929,"9,059k",3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,70,3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,0,3929,"2,7k",3929,"2,3k"
3930,"10,551k",3930,"9,307k",3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,72,3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,0,3930,"2,7k",3930,"2,3k"
3931,"10,674k",3931,"9,173k",3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,79,3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,0,3931,"2,7k",3931,"2,3k"
3932,"10,747k",3932,"9,258k",3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,76,3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,0,3932,"2,7k",3932,"2,3k"
3933,"10,609k",3933,"9,313k",3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,56,3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,0,3933,"2,7k",3933,"2,3k"
3934,"10,671k",3934,"9,474k",3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,93,3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,0,3934,"2,7k",3934,"2,3k"
3935,"10,692k",3935,"9,12k",3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,62,3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,0,3935,"2,7k",3935,"2,3k"
3936,"10,683k",3936,"9,331k",3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,67,3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,0,3936,"2,7k",3936,"2,3k"
3937,"10,665k",3937,"8,976k",3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,63,3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,0,3937,"2,7k",3937,"2,3k"
3938,"10,805k",3938,"9,159k",3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,70,3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,0,3938,"2,7k",3938,"2,3k"
3939,"10,603k",3939,"9,196k",3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,64,3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,0,3939,"2,7k",3939,"2,3k"
3940,"10,773k",3940,"9,158k",3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,49,3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,0,3940,"2,7k",3940,"2,3k"
3941,"10,643k",3941,"9,185k",3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,55,3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,0,3941,"2,7k",3941,"2,3k"
3942,"10,587k",3942,"9,137k",3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,67,3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,0,3942,"2,7k",3942,"2,3k"
3943,"10,704k",3943,"9,043k",3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,75,3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,0,3943,"2,7k",3943,"2,3k"
3944,"10,865k",3944,"9,083k",3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,71,3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,0,3944,"2,7k",3944,"2,3k"
3945,"10,517k",3945,"9,249k",3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,75,3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,0,3945,"2,7k",3945,"2,3k"
3946,"10,655k",3946,"9,313k",3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,56,3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,0,3946,"2,7k",3946,"2,3k"
3947,"10,684k",3947,"9,311k",3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,62,3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,0,3947,"2,7k",3947,"2,3k"
3948,"10,775k",3948,"9,603k",3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,64,3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,0,3948,"2,7k",3948,"2,3k"
3949,"10,688k",3949,"9,445k",3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,67,3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,0,3949,"2,7k",3949,"2,3k"
3950,"10,634k",3950,"9,488k",3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,64,3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,0,3950,"2,7k",3950,"2,3k"
3951,"10,897k",3951,"9,185k",3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,63,3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,0,3951,"2,7k",3951,"2,3k"
3952,"10,901k",3952,"9,287k",3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,68,3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,0,3952,"2,7k",3952,"2,3k"
