t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.150001
"352,734p",0.125001
"529,101p",0.225001
"705,467p",0.250001
"881,834p",0.275002
"1,0582n",0.350002
"1,23457n",0.200001
"1,41093n",0.550003
"1,5873n",0.325002
"1,76367n",0.450003
"1,94004n",0.350002
"2,1164n",0.650004
"2,29277n",0.950005
"2,46914n",0.950005
"2,6455n",1.27501
"2,82187n",2.42501
"2,99824n",3.30002
"3,1746n",5.12503
"3,35097n",7.40004
"3,52734n",12.4251
"3,7037n",17.1001
"3,88007n",27.9752
"4,05644n",39.5752
"4,2328n",44.0752
"4,40917n",39.7502
"4,58554n",28.4752
"4,7619n",16.2751
"4,93827n",8.92505
"5,11464n",4.82503
"5,29101n",2.37501
"5,46737n",1.32501
"5,64374n",0.550003
"5,82011n",0.450003
"5,99647n",0.350002
"6,17284n",0.100001
"6,34921n",0.175001
"6,52557n",0.100001
"6,70194n",0.150001
"6,87831n",0.200001
"7,05467n",0.175001
"7,23104n",0.125001
"7,40741n",0.175001
"7,58377n",0.200001
"7,76014n",0.100001
"7,93651n",0.225001
"8,11287n",0.100001
"8,28924n",0.200001
"8,46561n",0.100001
"8,64198n",0.100001
"8,81834n",0.0250001
"8,99471n",0.0750004
"9,17108n",0.150001
"9,34744n",0.125001
"9,52381n",0.175001
"9,70018n",0.175001
"9,87654n",0.125001
