t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.073172
"352,734p",0.170735
"529,101p",0.170735
"705,467p",0.121953
"881,834p",0.146344
"1,0582n",0.243907
"1,23457n",0.073172
"1,41093n",0.243907
"1,5873n",0.292688
"1,76367n",0.219516
"1,94004n",0.390251
"2,1164n",0.439032
"2,29277n",0.536595
"2,46914n",0.926845
"2,6455n",1.14636
"2,82187n",1.68296
"2,99824n",2.82932
"3,1746n",3.17079
"3,35097n",6.02449
"3,52734n",9.70748
"3,7037n",13.9027
"3,88007n",22.5858
"4,05644n",32.1469
"4,2328n",35.464
"4,40917n",32.5371
"4,58554n",22.7565
"4,7619n",13.5612
"4,93827n",7.34159
"5,11464n",3.46347
"5,29101n",1.43905
"5,46737n",0.951236
"5,64374n",0.512204
"5,82011n",0.219516
"5,99647n",0.146344
"6,17284n",0.195125
"6,34921n",0.121953
"6,52557n",0.0487813
"6,70194n",0.121953
"6,87831n",0.073172
"7,05467n",0.0975626
"7,23104n",0.0975626
"7,40741n",0.073172
"7,58377n",0.073172
"7,76014n",0.0487813
"7,93651n",0.195125
"8,11287n",0.121953
"8,28924n",0.146344
"8,46561n",0.195125
"8,64198n",0.073172
"8,81834n",0.0975626
"8,99471n",0.0975626
"9,17108n",0.0975626
"9,34744n",0.073172
"9,52381n",0.121953
"9,70018n",0.0487813
"9,87654n",0.0487813
