t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.93555
"176,367p",6.12118
"352,734p",6.4599
"529,101p",6.4599
"705,467p",6.82282
"881,834p",6.41152
"1,0582n",6.72604
"1,23457n",5.97602
"1,41093n",6.50829
"1,5873n",6.82282
"1,76367n",6.72604
"1,94004n",6.50829
"2,1164n",7.37929
"2,29277n",7.74221
"2,46914n",9.0487
"2,6455n",10.2826
"2,82187n",11.2262
"2,99824n",14.4924
"3,1746n",16.8151
"3,35097n",22.0653
"3,52734n",28.2833
"3,7037n",38.3723
"3,88007n",47.7839
"4,05644n",58.9376
"4,2328n",62.2522
"4,40917n",56.881
"4,58554n",45.2193
"4,7619n",32.7592
"4,93827n",24.4605
"5,11464n",16.1377
"5,29101n",12.5569
"5,46737n",9.14548
"5,64374n",8.17771
"5,82011n",7.3551
"5,99647n",6.60507
"6,17284n",5.97602
"6,34921n",6.72604
"6,52557n",6.4841
"6,70194n",5.70988
"6,87831n",6.14538
"7,05467n",6.75024
"7,23104n",7.52446
"7,40741n",6.26635
"7,58377n",6.84701
"7,76014n",6.33893
"7,93651n",6.0486
"8,11287n",5.83085
"8,28924n",6.24215
"8,46561n",6.00021
"8,64198n",6.4841
"8,81834n",6.24215
"8,99471n",5.83085
"9,17108n",6.31474
"9,34744n",6.16957
"9,52381n",6.38732
"9,70018n",6.21796
"9,87654n",5.85504
