t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0
"352,734p",0.0250015
"529,101p",0
"705,467p",0.0500029
"881,834p",0
"1,0582n",0.0250015
"1,23457n",0.0500029
"1,41093n",0.0250015
"1,5873n",0.0250015
"1,76367n",0.0750044
"1,94004n",0.100006
"2,1164n",0.0500029
"2,29277n",0.100006
"2,46914n",0.125007
"2,6455n",0.400023
"2,82187n",0.525031
"2,99824n",0.575033
"3,1746n",1.10006
"3,35097n",1.15007
"3,52734n",2.22513
"3,7037n",3.92523
"3,88007n",6.42537
"4,05644n",8.37549
"4,2328n",9.45055
"4,40917n",8.6255
"4,58554n",6.25036
"4,7619n",3.92523
"4,93827n",1.92511
"5,11464n",0.775045
"5,29101n",0.250015
"5,46737n",0.125007
"5,64374n",0.0500029
"5,82011n",0.0750044
"5,99647n",0.0750044
"6,17284n",0
"6,34921n",0.0500029
"6,52557n",0.0250015
"6,70194n",0.0250015
"6,87831n",0
"7,05467n",0
"7,23104n",0
"7,40741n",0
"7,58377n",0
"7,76014n",0.0250015
"7,93651n",0.0250015
"8,11287n",0.0750044
"8,28924n",0
"8,46561n",0.0250015
"8,64198n",0
"8,81834n",0.0500029
"8,99471n",0
"9,17108n",0.0250015
"9,34744n",0.0750044
"9,52381n",0
"9,70018n",0.0250015
"9,87654n",0.0250015
