t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.446191
"176,367p",1.51209
"352,734p",1.33857
"529,101p",1.23942
"705,467p",1.61125
"881,834p",1.78477
"1,0582n",1.7104
"1,23457n",1.58646
"1,41093n",1.68561
"1,5873n",1.66082
"1,76367n",1.4873
"1,94004n",1.78477
"2,1164n",2.10701
"2,29277n",1.78477
"2,46914n",1.80955
"2,6455n",1.75998
"2,82187n",2.75151
"2,99824n",3.24728
"3,1746n",3.44559
"3,35097n",5.47824
"3,52734n",8.1306
"3,7037n",9.14692
"3,88007n",13.4601
"4,05644n",17.6246
"4,2328n",19.2358
"4,40917n",16.8065
"4,58554n",11.7249
"4,7619n",8.60158
"4,93827n",6.1971
"5,11464n",4.09009
"5,29101n",2.94982
"5,46737n",2.42926
"5,64374n",1.56167
"5,82011n",1.4873
"5,99647n",1.66082
"6,17284n",2.00786
"6,34921n",1.289
"6,52557n",1.63604
"6,70194n",1.51209
"6,87831n",1.61125
"7,05467n",1.41294
"7,23104n",1.68561
"7,40741n",1.61125
"7,58377n",1.4873
"7,76014n",1.36336
"7,93651n",1.66082
"8,11287n",1.56167
"8,28924n",1.78477
"8,46561n",1.7104
"8,64198n",1.41294
"8,81834n",1.43773
"8,99471n",1.73519
"9,17108n",1.58646
"9,34744n",1.80955
"9,52381n",1.43773
"9,70018n",1.63604
"9,87654n",1.83434
