t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.89323
"176,367p",15.1514
"352,734p",14.457
"529,101p",15.4489
"705,467p",16.0441
"881,834p",16.8872
"1,0582n",16.6888
"1,23457n",17.8543
"1,41093n",16.4161
"1,5873n",17.5319
"1,76367n",19.7885
"1,94004n",20.5077
"2,1164n",21.9459
"2,29277n",26.6327
"2,46914n",33.5264
"2,6455n",40.8418
"2,82187n",52.0255
"2,99824n",73.8474
"3,1746n",98.6699
"3,35097n",136.784
"3,52734n",183.627
"3,7037n",225.956
"3,88007n",269.03
"4,05644n",312.624
"4,2328n",313.69
"4,40917n",283.71
"4,58554n",225.882
"4,7619n",171.724
"4,93827n",120.864
"5,11464n",80.6668
"5,29101n",51.3312
"5,46737n",34.072
"5,64374n",25.5912
"5,82011n",18.8958
"5,99647n",16.4409
"6,17284n",14.9034
"6,34921n",15.1514
"6,52557n",15.1514
"6,70194n",14.5562
"6,87831n",14.8786
"7,05467n",14.5314
"7,23104n",15.2754
"7,40741n",14.9282
"7,58377n",14.829
"7,76014n",14.9282
"7,93651n",14.829
"8,11287n",14.4322
"8,28924n",14.4818
"8,46561n",13.4403
"8,64198n",14.2339
"8,81834n",13.4403
"8,99471n",14.829
"9,17108n",15.7465
"9,34744n",14.3826
"9,52381n",13.8867
"9,70018n",13.6883
"9,87654n",13.6139
