t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.425458
"176,367p",1.30001
"352,734p",1.41819
"529,101p",1.39456
"705,467p",1.30001
"881,834p",1.32365
"1,0582n",1.53637
"1,23457n",1.46546
"1,41093n",1.34728
"1,5873n",1.27637
"1,76367n",1.44183
"1,94004n",1.67819
"2,1164n",1.56001
"2,29277n",1.77274
"2,46914n",1.82001
"2,6455n",1.67819
"2,82187n",2.17456
"2,99824n",2.74184
"3,1746n",3.30911
"3,35097n",4.68003
"3,52734n",6.19277
"3,7037n",7.82369
"3,88007n",11.0619
"4,05644n",15.0092
"4,2328n",16.6874
"4,40917n",14.3237
"4,58554n",11.5583
"4,7619n",8.34369
"4,93827n",5.27095
"5,11464n",3.90003
"5,29101n",2.74184
"5,46737n",2.05638
"5,64374n",1.7491
"5,82011n",1.56001
"5,99647n",1.60728
"6,17284n",1.58365
"6,34921n",1.18183
"6,52557n",1.4891
"6,70194n",1.44183
"6,87831n",1.15819
"7,05467n",1.44183
"7,23104n",1.86729
"7,40741n",1.56001
"7,58377n",1.58365
"7,76014n",1.60728
"7,93651n",1.70183
"8,11287n",1.46546
"8,28924n",1.20546
"8,46561n",1.32365
"8,64198n",1.46546
"8,81834n",1.25274
"8,99471n",1.2291
"9,17108n",1.77274
"9,34744n",1.30001
"9,52381n",1.60728
"9,70018n",1.25274
"9,87654n",1.63092
