t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.74075
"176,367p",5.63325
"352,734p",5.46401
"529,101p",5.82666
"705,467p",5.92337
"881,834p",6.2135
"1,0582n",6.62451
"1,23457n",5.97173
"1,41093n",6.96298
"1,5873n",7.68829
"1,76367n",7.73665
"1,94004n",7.59159
"2,1164n",10.2269
"2,29277n",12.7171
"2,46914n",15.2073
"2,6455n",20.5505
"2,82187n",27.1266
"2,99824n",36.9667
"3,1746n",53.8422
"3,35097n",79.4457
"3,52734n",112.278
"3,7037n",150.744
"3,88007n",196.777
"4,05644n",244.913
"4,2328n",260.87
"4,40917n",238.845
"4,58554n",186.647
"4,7619n",129.226
"4,93827n",87.2549
"5,11464n",55.8731
"5,29101n",33.1467
"5,46737n",19.0273
"5,64374n",12.9831
"5,82011n",8.53449
"5,99647n",7.37399
"6,17284n",6.23767
"6,34921n",5.43983
"6,52557n",5.63325
"6,70194n",5.58489
"6,87831n",6.04426
"7,05467n",5.77831
"7,23104n",5.27059
"7,40741n",5.053
"7,58377n",5.60907
"7,76014n",5.19806
"7,93651n",5.00464
"8,11287n",5.29477
"8,28924n",5.87502
"8,46561n",4.95629
"8,64198n",5.39148
"8,81834n",5.77831
"8,99471n",5.24641
"9,17108n",5.53654
"9,34744n",5.56072
"9,52381n",5.3673
"9,70018n",4.25516
"9,87654n",4.11009
