t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0500002
"176,367p",0.1
"352,734p",0.200001
"529,101p",0.15
"705,467p",0.200001
"881,834p",0
"1,0582n",0.325001
"1,23457n",0.300001
"1,41093n",0.1
"1,5873n",0.350001
"1,76367n",0.475001
"1,94004n",0.375001
"2,1164n",0.300001
"2,29277n",0.700002
"2,46914n",0.925003
"2,6455n",1.25
"2,82187n",1.82501
"2,99824n",2.37501
"3,1746n",3.32501
"3,35097n",4.92502
"3,52734n",7.92502
"3,7037n",12.325
"3,88007n",19.1501
"4,05644n",26.8501
"4,2328n",28.0501
"4,40917n",24.8251
"4,58554n",18.1251
"4,7619n",10.675
"4,93827n",5.57502
"5,11464n",2.02501
"5,29101n",1.225
"5,46737n",0.825003
"5,64374n",0.400001
"5,82011n",0.15
"5,99647n",0.1
"6,17284n",0.225001
"6,34921n",0.125
"6,52557n",0.0500002
"6,70194n",0.175001
"6,87831n",0.1
"7,05467n",0.225001
"7,23104n",0.125
"7,40741n",0.0750002
"7,58377n",0.0500002
"7,76014n",0.250001
"7,93651n",0.0500002
"8,11287n",0.15
"8,28924n",0.1
"8,46561n",0.125
"8,64198n",0.15
"8,81834n",0.175001
"8,99471n",0.1
"9,17108n",0.15
"9,34744n",0.15
"9,52381n",0.15
"9,70018n",0.0500002
"9,87654n",0.0500002
