t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,12.0709
"176,367p",44.4859
"352,734p",46.3727
"529,101p",44.0021
"705,467p",46.2518
"881,834p",46.9775
"1,0582n",48.2354
"1,23457n",46.1308
"1,41093n",49.8803
"1,5873n",50.8963
"1,76367n",54.0894
"1,94004n",57.2341
"2,1164n",62.2173
"2,29277n",70.4662
"2,46914n",85.2465
"2,6455n",110.138
"2,82187n",141.876
"2,99824n",184.596
"3,1746n",255.231
"3,35097n",358.209
"3,52734n",456.18
"3,7037n",554.344
"3,88007n",644.888
"4,05644n",711.29
"4,2328n",711.435
"4,40917n",658.87
"4,58554n",556.497
"4,7619n",449.624
"4,93827n",328.963
"5,11464n",225.453
"5,29101n",153.197
"5,46737n",104.841
"5,64374n",76.8283
"5,82011n",62.7011
"5,99647n",48.5015
"6,17284n",47.1952
"6,34921n",43.7118
"6,52557n",43.5425
"6,70194n",44.5826
"6,87831n",45.4535
"7,05467n",45.9857
"7,23104n",46.663
"7,40741n",44.8487
"7,58377n",44.7036
"7,76014n",42.599
"7,93651n",43.6876
"8,11287n",42.8651
"8,28924n",42.1636
"8,46561n",43.7118
"8,64198n",43.228
"8,81834n",43.107
"8,99471n",41.4863
"9,17108n",41.8975
"9,34744n",42.8168
"9,52381n",43.9295
"9,70018n",41.704
"9,87654n",43.8327
