t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,17.5842
"176,367p",66.2712
"352,734p",67.6182
"529,101p",65.61
"705,467p",66.712
"881,834p",67.961
"1,0582n",66.3936
"1,23457n",70.655
"1,41093n",68.1815
"1,5873n",72.4428
"1,76367n",69.8958
"1,94004n",73.251
"2,1164n",76.3123
"2,29277n",80.9165
"2,46914n",91.6678
"2,6455n",106.925
"2,82187n",134.844
"2,99824n",163.474
"3,1746n",208.316
"3,35097n",278.628
"3,52734n",351.12
"3,7037n",412.321
"3,88007n",461.204
"4,05644n",497.818
"4,2328n",484.544
"4,40917n",448.273
"4,58554n",389.692
"4,7619n",325.037
"4,93827n",250.146
"5,11464n",184.119
"5,29101n",134.11
"5,46737n",103.57
"5,64374n",81.7737
"5,82011n",73.8877
"5,99647n",66.5651
"6,17284n",64.2875
"6,34921n",63.3323
"6,52557n",64.2875
"6,70194n",63.4548
"6,87831n",65.2181
"7,05467n",64.5079
"7,23104n",65.463
"7,40741n",64.6548
"7,58377n",65.8549
"7,76014n",66.4426
"7,93651n",62.0343
"8,11287n",62.6956
"8,28924n",62.3037
"8,46561n",62.9895
"8,64198n",64.7528
"8,81834n",61.8139
"8,99471n",63.9691
"9,17108n",66.0998
"9,34744n",64.5324
"9,52381n",64.4344
"9,70018n",63.014
"9,87654n",63.6017
