t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0952391
"176,367p",0.357147
"352,734p",0.500005
"529,101p",0.333337
"705,467p",0.214288
"881,834p",0.404766
"1,0582n",0.285717
"1,23457n",0.404766
"1,41093n",0.595244
"1,5873n",0.309527
"1,76367n",0.333337
"1,94004n",0.476195
"2,1164n",0.309527
"2,29277n",0.476195
"2,46914n",0.476195
"2,6455n",0.404766
"2,82187n",0.666674
"2,99824n",0.809532
"3,1746n",0.904771
"3,35097n",1.35716
"3,52734n",1.64287
"3,7037n",2.11907
"3,88007n",3.09527
"4,05644n",4.04766
"4,2328n",4.09528
"4,40917n",3.76194
"4,58554n",2.80955
"4,7619n",2.14288
"4,93827n",1.2143
"5,11464n",0.976201
"5,29101n",0.619054
"5,46737n",0.285717
"5,64374n",0.500005
"5,82011n",0.380956
"5,99647n",0.404766
"6,17284n",0.285717
"6,34921n",0.500005
"6,52557n",0.238098
"6,70194n",0.404766
"6,87831n",0.380956
"7,05467n",0.285717
"7,23104n",0.476195
"7,40741n",0.500005
"7,58377n",0.357147
"7,76014n",0.333337
"7,93651n",0.261908
"8,11287n",0.285717
"8,28924n",0.333337
"8,46561n",0.357147
"8,64198n",0.380956
"8,81834n",0.523815
"8,99471n",0.285717
"9,17108n",0.357147
"9,34744n",0.309527
"9,52381n",0.261908
"9,70018n",0.333337
"9,87654n",0.380956
