t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0
"352,734p",0
"529,101p",0
"705,467p",0
"881,834p",0
"1,0582n",0.0238102
"1,23457n",0.0238102
"1,41093n",0.0238102
"1,5873n",0.0476204
"1,76367n",0.0476204
"1,94004n",0.0714305
"2,1164n",0.0476204
"2,29277n",0.119051
"2,46914n",0.119051
"2,6455n",0.261912
"2,82187n",0.261912
"2,99824n",0.404773
"3,1746n",0.714305
"3,35097n",1.1667
"3,52734n",1.6429
"3,7037n",2.64293
"3,88007n",4.40488
"4,05644n",6.04779
"4,2328n",6.50018
"4,40917n",5.64301
"4,58554n",3.66677
"4,7619n",2.02387
"4,93827n",0.952407
"5,11464n",0.690495
"5,29101n",0.357153
"5,46737n",0.142861
"5,64374n",0.0476204
"5,82011n",0.0476204
"5,99647n",0.0952407
"6,17284n",0.0476204
"6,34921n",0.0714305
"6,52557n",0.0476204
"6,70194n",0
"6,87831n",0
"7,05467n",0.0476204
"7,23104n",0
"7,40741n",0.0238102
"7,58377n",0
"7,76014n",0
"7,93651n",0
"8,11287n",0.0238102
"8,28924n",0.0238102
"8,46561n",0
"8,64198n",0.0238102
"8,81834n",0
"8,99471n",0
"9,17108n",0
"9,34744n",0
"9,52381n",0
"9,70018n",0.0238102
"9,87654n",0
