t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.125003
"176,367p",0.400009
"352,734p",0.350008
"529,101p",0.47501
"705,467p",0.500011
"881,834p",0.375008
"1,0582n",0.250005
"1,23457n",0.525011
"1,41093n",0.400009
"1,5873n",0.600013
"1,76367n",0.600013
"1,94004n",0.325007
"2,1164n",0.425009
"2,29277n",0.625014
"2,46914n",0.625014
"2,6455n",0.550012
"2,82187n",0.625014
"2,99824n",0.725016
"3,1746n",0.625014
"3,35097n",1.30003
"3,52734n",1.82504
"3,7037n",2.00004
"3,88007n",3.15007
"4,05644n",4.22509
"4,2328n",5.10011
"4,40917n",5.02511
"4,58554n",2.82506
"4,7619n",2.10005
"4,93827n",1.42503
"5,11464n",0.725016
"5,29101n",0.625014
"5,46737n",0.625014
"5,64374n",0.600013
"5,82011n",0.325007
"5,99647n",0.350008
"6,17284n",0.175004
"6,34921n",0.500011
"6,52557n",0.400009
"6,70194n",0.350008
"6,87831n",0.350008
"7,05467n",0.350008
"7,23104n",0.325007
"7,40741n",0.325007
"7,58377n",0.300007
"7,76014n",0.600013
"7,93651n",0.500011
"8,11287n",0.500011
"8,28924n",0.375008
"8,46561n",0.400009
"8,64198n",0.45001
"8,81834n",0.47501
"8,99471n",0.300007
"9,17108n",0.425009
"9,34744n",0.300007
"9,52381n",0.275006
"9,70018n",0.500011
"9,87654n",0.300007
