t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.225005
"176,367p",0.725015
"352,734p",0.650014
"529,101p",0.575012
"705,467p",0.575012
"881,834p",0.875018
"1,0582n",0.750016
"1,23457n",0.550012
"1,41093n",0.675014
"1,5873n",0.47501
"1,76367n",0.550012
"1,94004n",0.625013
"2,1164n",0.95002
"2,29277n",0.750016
"2,46914n",0.725015
"2,6455n",0.900019
"2,82187n",1.22503
"2,99824n",1.12502
"3,1746n",1.57503
"3,35097n",2.05004
"3,52734n",2.30005
"3,7037n",3.20007
"3,88007n",5.35011
"4,05644n",6.80014
"4,2328n",6.60014
"4,40917n",6.95015
"4,58554n",4.8251
"4,7619n",3.15007
"4,93827n",1.97504
"5,11464n",1.20003
"5,29101n",1.00002
"5,46737n",0.825017
"5,64374n",0.725015
"5,82011n",0.675014
"5,99647n",0.550012
"6,17284n",0.600013
"6,34921n",0.525011
"6,52557n",0.625013
"6,70194n",0.325007
"6,87831n",0.675014
"7,05467n",0.700015
"7,23104n",0.600013
"7,40741n",0.625013
"7,58377n",0.50001
"7,76014n",0.50001
"7,93651n",0.47501
"8,11287n",0.47501
"8,28924n",0.550012
"8,46561n",0.625013
"8,64198n",0.725015
"8,81834n",0.800017
"8,99471n",0.725015
"9,17108n",0.850018
"9,34744n",0.600013
"9,52381n",0.575012
"9,70018n",0.450009
"9,87654n",0.650014
