t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.125003
"352,734p",0.0250006
"529,101p",0.0500011
"705,467p",0.125003
"881,834p",0.125003
"1,0582n",0.100002
"1,23457n",0.125003
"1,41093n",0.0500011
"1,5873n",0.0500011
"1,76367n",0.125003
"1,94004n",0.0250006
"2,1164n",0.150003
"2,29277n",0.0750017
"2,46914n",0.250006
"2,6455n",0.125003
"2,82187n",0.100002
"2,99824n",0.100002
"3,1746n",0.300007
"3,35097n",0.100002
"3,52734n",0.325007
"3,7037n",0.42501
"3,88007n",0.750017
"4,05644n",1.00002
"4,2328n",1.00002
"4,40917n",1.02502
"4,58554n",0.750017
"4,7619n",0.575013
"4,93827n",0.250006
"5,11464n",0.0750017
"5,29101n",0.175004
"5,46737n",0.0750017
"5,64374n",0.0250006
"5,82011n",0
"5,99647n",0.0750017
"6,17284n",0.0250006
"6,34921n",0.100002
"6,52557n",0.0500011
"6,70194n",0.100002
"6,87831n",0.100002
"7,05467n",0.0250006
"7,23104n",0.125003
"7,40741n",0.100002
"7,58377n",0.125003
"7,76014n",0.100002
"7,93651n",0.150003
"8,11287n",0.150003
"8,28924n",0.0250006
"8,46561n",0.0750017
"8,64198n",0.125003
"8,81834n",0.0500011
"8,99471n",0.100002
"9,17108n",0.0500011
"9,34744n",0.0750017
"9,52381n",0.0750017
"9,70018n",0.0500011
"9,87654n",0.0750017
