t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.0750021
"352,734p",0.0250007
"529,101p",0
"705,467p",0.0750021
"881,834p",0.100003
"1,0582n",0.0250007
"1,23457n",0.0250007
"1,41093n",0.0750021
"1,5873n",0.0750021
"1,76367n",0.100003
"1,94004n",0.100003
"2,1164n",0.100003
"2,29277n",0.125003
"2,46914n",0.275008
"2,6455n",0.500014
"2,82187n",0.35001
"2,99824n",0.600017
"3,1746n",1.17503
"3,35097n",2.17506
"3,52734n",2.82508
"3,7037n",4.92514
"3,88007n",7.1752
"4,05644n",11.2253
"4,2328n",12.0753
"4,40917n",10.6753
"4,58554n",6.02517
"4,7619n",3.5751
"4,93827n",2.27506
"5,11464n",0.900025
"5,29101n",0.500014
"5,46737n",0.325009
"5,64374n",0.150004
"5,82011n",0.150004
"5,99647n",0.0250007
"6,17284n",0
"6,34921n",0.0500014
"6,52557n",0.100003
"6,70194n",0.0250007
"6,87831n",0
"7,05467n",0
"7,23104n",0.0250007
"7,40741n",0.0250007
"7,58377n",0.0750021
"7,76014n",0
"7,93651n",0.0250007
"8,11287n",0.0250007
"8,28924n",0.0500014
"8,46561n",0.0500014
"8,64198n",0.0250007
"8,81834n",0
"8,99471n",0.0500014
"9,17108n",0.0500014
"9,34744n",0
"9,52381n",0.0250007
"9,70018n",0.0250007
"9,87654n",0.0250007
