t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.551424
"176,367p",1.47782
"352,734p",1.52193
"529,101p",1.61016
"705,467p",1.61016
"881,834p",1.54399
"1,0582n",1.87484
"1,23457n",1.36753
"1,41093n",1.21313
"1,5873n",2.16158
"1,76367n",1.65427
"1,94004n",1.65427
"2,1164n",1.67633
"2,29277n",2.18364
"2,46914n",2.11747
"2,6455n",2.99975
"2,82187n",3.06592
"2,99824n",3.44089
"3,1746n",4.10259
"3,35097n",5.24956
"3,52734n",6.83766
"3,7037n",9.30804
"3,88007n",12.6166
"4,05644n",14.8002
"4,2328n",16.3663
"4,40917n",15.9913
"4,58554n",10.9623
"4,7619n",7.49937
"4,93827n",5.20544
"5,11464n",3.55117
"5,29101n",2.58066
"5,46737n",1.76456
"5,64374n",2.16158
"5,82011n",1.38959
"5,99647n",1.87484
"6,17284n",1.63221
"6,34921n",1.25725
"6,52557n",1.5881
"6,70194n",1.61016
"6,87831n",1.67633
"7,05467n",1.61016
"7,23104n",1.45576
"7,40741n",1.61016
"7,58377n",1.72044
"7,76014n",1.54399
"7,93651n",1.49987
"8,11287n",1.49987
"8,28924n",1.69839
"8,46561n",1.63221
"8,64198n",1.34547
"8,81834n",1.52193
"8,99471n",1.56604
"9,17108n",1.56604
"9,34744n",1.61016
"9,52381n",1.19108
"9,70018n",1.61016
"9,87654n",1.52193
