t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0500014
"176,367p",0.250007
"352,734p",0.200006
"529,101p",0.225006
"705,467p",0.225006
"881,834p",0.400011
"1,0582n",0.275008
"1,23457n",0.100003
"1,41093n",0.275008
"1,5873n",0.125004
"1,76367n",0.35001
"1,94004n",0.225006
"2,1164n",0.250007
"2,29277n",0.300009
"2,46914n",0.375011
"2,6455n",0.250007
"2,82187n",0.325009
"2,99824n",0.450013
"3,1746n",0.450013
"3,35097n",0.975028
"3,52734n",1.02503
"3,7037n",1.87505
"3,88007n",2.17506
"4,05644n",3.05009
"4,2328n",2.75008
"4,40917n",2.72508
"4,58554n",2.02506
"4,7619n",1.22504
"4,93827n",0.575016
"5,11464n",0.475014
"5,29101n",0.475014
"5,46737n",0.200006
"5,64374n",0.375011
"5,82011n",0.375011
"5,99647n",0.175005
"6,17284n",0.225006
"6,34921n",0.250007
"6,52557n",0.300009
"6,70194n",0.325009
"6,87831n",0.175005
"7,05467n",0.275008
"7,23104n",0.275008
"7,40741n",0.275008
"7,58377n",0.175005
"7,76014n",0.400011
"7,93651n",0.275008
"8,11287n",0.300009
"8,28924n",0.325009
"8,46561n",0.325009
"8,64198n",0.175005
"8,81834n",0.225006
"8,99471n",0.250007
"9,17108n",0.225006
"9,34744n",0.225006
"9,52381n",0.250007
"9,70018n",0.275008
"9,87654n",0.150004
