t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.19172
"176,367p",13.178
"352,734p",12.3558
"529,101p",13.3714
"705,467p",13.0812
"881,834p",13.8308
"1,0582n",13.5165
"1,23457n",14.6287
"1,41093n",15.741
"1,5873n",15.7894
"1,76367n",17.6996
"1,94004n",18.836
"2,1164n",19.9483
"2,29277n",24.0346
"2,46914n",30.6599
"2,6455n",39.0744
"2,82187n",55.0089
"2,99824n",73.8207
"3,1746n",103.199
"3,35097n",152.477
"3,52734n",201.683
"3,7037n",257.514
"3,88007n",319.729
"4,05644n",376.14
"4,2328n",390.285
"4,40917n",358.948
"4,58554n",288.948
"4,7619n",218.923
"4,93827n",151.655
"5,11464n",99.5479
"5,29101n",64.3906
"5,46737n",39.7998
"5,64374n",25.0986
"5,82011n",19.8274
"5,99647n",15.475
"6,17284n",14.1451
"6,34921n",14.3386
"6,52557n",13.323
"6,70194n",12.0899
"6,87831n",12.6702
"7,05467n",11.6063
"7,23104n",13.4923
"7,40741n",12.7911
"7,58377n",11.4128
"7,76014n",12.6944
"7,93651n",13.2263
"8,11287n",12.4526
"8,28924n",11.4854
"8,46561n",12.4042
"8,64198n",12.7185
"8,81834n",11.9931
"8,99471n",11.703
"9,17108n",12.646
"9,34744n",12.0415
"9,52381n",12.912
"9,70018n",11.3403
"9,87654n",11.969
