t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.857925
"176,367p",3.03573
"352,734p",3.34371
"529,101p",3.25572
"705,467p",3.36571
"881,834p",3.3877
"1,0582n",3.36571
"1,23457n",3.05773
"1,41093n",3.56369
"1,5873n",2.90375
"1,76367n",3.34371
"1,94004n",3.32171
"2,1164n",3.56369
"2,29277n",4.00365
"2,46914n",5.16955
"2,6455n",4.77358
"2,82187n",5.89548
"2,99824n",7.08338
"3,1746n",9.89913
"3,35097n",12.1869
"3,52734n",16.4546
"3,7037n",20.0182
"3,88007n",25.0778
"4,05644n",30.6653
"4,2328n",33.4371
"4,40917n",29.3014
"4,58554n",23.318
"4,7619n",17.2685
"4,93827n",11.637
"5,11464n",7.65533
"5,29101n",5.6755
"5,46737n",4.94957
"5,64374n",3.62968
"5,82011n",3.4317
"5,99647n",3.4317
"6,17284n",2.70576
"6,34921n",2.68377
"6,52557n",3.56369
"6,70194n",2.99174
"6,87831n",3.34371
"7,05467n",3.10173
"7,23104n",3.4317
"7,40741n",3.71767
"7,58377n",2.63977
"7,76014n",3.34371
"7,93651n",2.79376
"8,11287n",3.36571
"8,28924n",3.71767
"8,46561n",2.83775
"8,64198n",3.32171
"8,81834n",3.56369
"8,99471n",3.36571
"9,17108n",3.4317
"9,34744n",3.32171
"9,52381n",2.61777
"9,70018n",2.92574
"9,87654n",2.79376
