t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.195128
"176,367p",0.878076
"352,734p",0.756121
"529,101p",0.902467
"705,467p",1.0732
"881,834p",1.12199
"1,0582n",1.00003
"1,23457n",1.04881
"1,41093n",1.09759
"1,5873n",1.31711
"1,76367n",1.53663
"1,94004n",1.51224
"2,1164n",2.09763
"2,29277n",2.63423
"2,46914n",3.17083
"2,6455n",4.85381
"2,82187n",6.53679
"2,99824n",8.1222
"3,1746n",12.3175
"3,35097n",18.3176
"3,52734n",27.2935
"3,7037n",40.3671
"3,88007n",59.4409
"4,05644n",76.6609
"4,2328n",82.5391
"4,40917n",73.2706
"4,58554n",49.5625
"4,7619n",33.1718
"4,93827n",16.8298
"5,11464n",9.43932
"5,29101n",5.39041
"5,46737n",2.65862
"5,64374n",1.82932
"5,82011n",1.68298
"5,99647n",1.0732
"6,17284n",1.02442
"6,34921n",1.02442
"6,52557n",0.512211
"6,70194n",0.829294
"6,87831n",0.658557
"7,05467n",0.73173
"7,23104n",0.73173
"7,40741n",0.804903
"7,58377n",0.634166
"7,76014n",0.682948
"7,93651n",0.560993
"8,11287n",0.682948
"8,28924n",0.756121
"8,46561n",0.878076
"8,64198n",0.609775
"8,81834n",0.780512
"8,99471n",0.73173
"9,17108n",0.829294
"9,34744n",1.0732
"9,52381n",0.756121
"9,70018n",0.682948
"9,87654n",0.902467
