t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,4.97811
"176,367p",18.3858
"352,734p",19.0496
"529,101p",19.3372
"705,467p",18.5628
"881,834p",18.3416
"1,0582n",18.3194
"1,23457n",19.3151
"1,41093n",19.7354
"1,5873n",19.5584
"1,76367n",20.3992
"1,94004n",21.1514
"2,1164n",20.2886
"2,29277n",23.2091
"2,46914n",26.041
"2,6455n",28.6739
"2,82187n",33.3423
"2,99824n",39.316
"3,1746n",49.2722
"3,35097n",62.7684
"3,52734n",75.092
"3,7037n",90.2476
"3,88007n",103.965
"4,05644n",114.718
"4,2328n",118.037
"4,40917n",105.425
"4,58554n",90.3804
"4,7619n",73.1672
"4,93827n",56.7283
"5,11464n",41.6391
"5,29101n",31.2183
"5,46737n",26.926
"5,64374n",21.7267
"5,82011n",20.4656
"5,99647n",18.5849
"6,17284n",17.3681
"6,34921n",18.0097
"6,52557n",17.6114
"6,70194n",18.0318
"6,87831n",17.8769
"7,05467n",18.7841
"7,23104n",18.7177
"7,40741n",17.6336
"7,58377n",18.3416
"7,76014n",17.5451
"7,93651n",17.8548
"8,11287n",16.7043
"8,28924n",17.9212
"8,46561n",18.9611
"8,64198n",17.6114
"8,81834n",17.5672
"8,99471n",18.0097
"9,17108n",17.5893
"9,34744n",18.6956
"9,52381n",18.4522
"9,70018n",18.7177
"9,87654n",17.1468
