t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,6.83819
"176,367p",26.6394
"352,734p",26.6394
"529,101p",26.8854
"705,467p",25.9015
"881,834p",26.4673
"1,0582n",27.6233
"1,23457n",28.1891
"1,41093n",27.9923
"1,5873n",26.8854
"1,76367n",27.2544
"1,94004n",27.8201
"2,1164n",29.3944
"2,29277n",33.6498
"2,46914n",38.5694
"2,6455n",41.5949
"2,82187n",52.8361
"2,99824n",58.469
"3,1746n",78.2949
"3,35097n",102.204
"3,52734n",133.099
"3,7037n",154.622
"3,88007n",179.687
"4,05644n",202.489
"4,2328n",204.26
"4,40917n",192.626
"4,58554n",160.944
"4,7619n",128.991
"4,93827n",98.4897
"5,11464n",73.2523
"5,29101n",52.0982
"5,46737n",41.1767
"5,64374n",33.6006
"5,82011n",29.8617
"5,99647n",26.4673
"6,17284n",25.5325
"6,34921n",24.6224
"6,52557n",25.9261
"6,70194n",25.0406
"6,87831n",26.664
"7,05467n",27.2544
"7,23104n",25.139
"7,40741n",26.4181
"7,58377n",25.9261
"7,76014n",26.6394
"7,93651n",25.5571
"8,11287n",26.8608
"8,28924n",26.0983
"8,46561n",25.5571
"8,64198n",26.3197
"8,81834n",26.7132
"8,99471n",25.4833
"9,17108n",25.7785
"9,34744n",26.4673
"9,52381n",25.6801
"9,70018n",25.7047
"9,87654n",24.278
