t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,6.71853
"176,367p",26.2503
"352,734p",25.9383
"529,101p",27.402
"705,467p",26.8981
"881,834p",25.3385
"1,0582n",27.426
"1,23457n",28.1698
"1,41093n",26.5142
"1,5873n",28.9137
"1,76367n",29.6575
"1,94004n",30.0414
"2,1164n",29.0816
"2,29277n",32.3449
"2,46914n",35.8242
"2,6455n",42.4947
"2,82187n",49.7411
"2,99824n",62.8423
"3,1746n",76.5913
"3,35097n",104.785
"3,52734n",129.356
"3,7037n",154.358
"3,88007n",183.872
"4,05644n",200.644
"4,2328n",205.299
"4,40917n",191.118
"4,58554n",164.508
"4,7619n",130.939
"4,93827n",99.5063
"5,11464n",74.4317
"5,29101n",55.7398
"5,46737n",42.0148
"5,64374n",34.4805
"5,82011n",28.5538
"5,99647n",28.7697
"6,17284n",25.8184
"6,34921n",26.5142
"6,52557n",24.9785
"6,70194n",26.6342
"6,87831n",27.522
"7,05467n",27.1621
"7,23104n",26.8261
"7,40741n",26.6102
"7,58377n",26.4902
"7,76014n",25.9863
"7,93651n",26.3702
"8,11287n",26.3702
"8,28924n",26.0823
"8,46561n",25.9623
"8,64198n",27.1141
"8,81834n",25.9383
"8,99471n",26.1303
"9,17108n",25.9143
"9,34744n",25.8663
"9,52381n",25.8903
"9,70018n",25.6744
"9,87654n",26.5622
