t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,30.177
"176,367p",108.514
"352,734p",108.343
"529,101p",111.311
"705,467p",111.777
"881,834p",113.25
"1,0582n",113.74
"1,23457n",113.593
"1,41093n",117.371
"1,5873n",117.641
"1,76367n",121.91
"1,94004n",119.457
"2,1164n",127.209
"2,29277n",140.335
"2,46914n",160.257
"2,6455n",183.859
"2,82187n",226.867
"2,99824n",279.836
"3,1746n",357.609
"3,35097n",482.758
"3,52734n",600.129
"3,7037n",689.213
"3,88007n",769.488
"4,05644n",815.048
"4,2328n",786.515
"4,40917n",737.275
"4,58554n",632.416
"4,7619n",517.057
"4,93827n",398.63
"5,11464n",293.919
"5,29101n",218.771
"5,46737n",166.513
"5,64374n",136.68
"5,82011n",123.529
"5,99647n",111.091
"6,17284n",109.717
"6,34921n",109.962
"6,52557n",110.281
"6,70194n",108.024
"6,87831n",110.183
"7,05467n",108.367
"7,23104n",110.551
"7,40741n",109.692
"7,58377n",110.624
"7,76014n",108.809
"7,93651n",109.3
"8,11287n",107.263
"8,28924n",106.135
"8,46561n",106.38
"8,64198n",104.098
"8,81834n",105.57
"8,99471n",107.41
"9,17108n",107.607
"9,34744n",107.361
"9,52381n",111.311
"9,70018n",106.503
"9,87654n",107.165
