t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.285718
"176,367p",0.857154
"352,734p",0.642865
"529,101p",0.500006
"705,467p",0.642865
"881,834p",0.833344
"1,0582n",0.738105
"1,23457n",0.547626
"1,41093n",0.785724
"1,5873n",0.761915
"1,76367n",1.02382
"1,94004n",0.738105
"2,1164n",0.833344
"2,29277n",0.809534
"2,46914n",1.00001
"2,6455n",1.16668
"2,82187n",1.26192
"2,99824n",1.04763
"3,1746n",2.11907
"3,35097n",2.88099
"3,52734n",2.73813
"3,7037n",4.28577
"3,88007n",5.54769
"4,05644n",6.71437
"4,2328n",7.262
"4,40917n",6.7858
"4,58554n",5.90484
"4,7619n",3.381
"4,93827n",2.59527
"5,11464n",1.02382
"5,29101n",1.61907
"5,46737n",0.928583
"5,64374n",0.809534
"5,82011n",0.714295
"5,99647n",0.738105
"6,17284n",0.666675
"6,34921n",0.785724
"6,52557n",0.857154
"6,70194n",0.738105
"6,87831n",0.714295
"7,05467n",0.666675
"7,23104n",0.833344
"7,40741n",0.761915
"7,58377n",0.595246
"7,76014n",0.547626
"7,93651n",0.523816
"8,11287n",0.833344
"8,28924n",0.619056
"8,46561n",0.738105
"8,64198n",0.809534
"8,81834n",0.785724
"8,99471n",0.857154
"9,17108n",0.500006
"9,34744n",0.642865
"9,52381n",0.547626
"9,70018n",0.952393
"9,87654n",0.666675
