t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.5366
"176,367p",4.8537
"352,734p",4.41467
"529,101p",4.80492
"705,467p",5.17077
"881,834p",5.04882
"1,0582n",5.21956
"1,23457n",5.21956
"1,41093n",5.70736
"1,5873n",6.21956
"1,76367n",6.34152
"1,94004n",6.70737
"2,1164n",8.9269
"2,29277n",10.0001
"2,46914n",13.244
"2,6455n",17.0001
"2,82187n",23.1953
"2,99824n",32.0247
"3,1746n",42.2442
"3,35097n",61.8542
"3,52734n",82.708
"3,7037n",116.318
"3,88007n",150.221
"4,05644n",183.88
"4,2328n",190.611
"4,40917n",168.197
"4,58554n",126.343
"4,7619n",88.3666
"4,93827n",56.7078
"5,11464n",35.7564
"5,29101n",21.7319
"5,46737n",13.8538
"5,64374n",9.36593
"5,82011n",7.29274
"5,99647n",4.97565
"6,17284n",4.60979
"6,34921n",4.56101
"6,52557n",4.19516
"6,70194n",4.56101
"6,87831n",4.31711
"7,05467n",4.3415
"7,23104n",5.19516
"7,40741n",4.09759
"7,58377n",4.0732
"7,76014n",5.02443
"7,93651n",4.48784
"8,11287n",4.51223
"8,28924n",4.90248
"8,46561n",4.80492
"8,64198n",4.41467
"8,81834n",4.14638
"8,99471n",4.5854
"9,17108n",4.92687
"9,34744n",4.39028
"9,52381n",4.53662
"9,70018n",4.36589
"9,87654n",3.97564
