t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.100001
"176,367p",0.525004
"352,734p",0.475004
"529,101p",0.375003
"705,467p",0.450003
"881,834p",0.550004
"1,0582n",0.475004
"1,23457n",0.450003
"1,41093n",0.550004
"1,5873n",0.475004
"1,76367n",0.450003
"1,94004n",0.525004
"2,1164n",0.325002
"2,29277n",0.500004
"2,46914n",0.575004
"2,6455n",0.325002
"2,82187n",0.575004
"2,99824n",0.675005
"3,1746n",1.00001
"3,35097n",1.47501
"3,52734n",1.95001
"3,7037n",2.40002
"3,88007n",3.60003
"4,05644n",3.92503
"4,2328n",4.92504
"4,40917n",4.57503
"4,58554n",3.37503
"4,7619n",2.40002
"4,93827n",1.00001
"5,11464n",0.775006
"5,29101n",0.625005
"5,46737n",0.500004
"5,64374n",0.475004
"5,82011n",0.425003
"5,99647n",0.525004
"6,17284n",0.625005
"6,34921n",0.475004
"6,52557n",0.350003
"6,70194n",0.275002
"6,87831n",0.500004
"7,05467n",0.350003
"7,23104n",0.400003
"7,40741n",0.475004
"7,58377n",0.350003
"7,76014n",0.325002
"7,93651n",0.600004
"8,11287n",0.400003
"8,28924n",0.575004
"8,46561n",0.275002
"8,64198n",0.500004
"8,81834n",0.375003
"8,99471n",0.350003
"9,17108n",0.400003
"9,34744n",0.375003
"9,52381n",0.500004
"9,70018n",0.425003
"9,87654n",0.225002
