t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.48781
"176,367p",1.65855
"352,734p",1.34148
"529,101p",1.68294
"705,467p",1.58538
"881,834p",1.75611
"1,0582n",1.73172
"1,23457n",1.82929
"1,41093n",2.36588
"1,5873n",1.60977
"1,76367n",1.85368
"1,94004n",2.36588
"2,1164n",2.00002
"2,29277n",2.0488
"2,46914n",2.17075
"2,6455n",2.63417
"2,82187n",2.561
"2,99824n",3.48784
"3,1746n",4.58541
"3,35097n",5.14639
"3,52734n",7.36592
"3,7037n",9.85375
"3,88007n",13.4392
"4,05644n",15.6099
"4,2328n",16.2197
"4,40917n",14.6099
"4,58554n",11.6099
"4,7619n",8.1952
"4,93827n",6.02445
"5,11464n",3.80491
"5,29101n",3.14637
"5,46737n",1.95124
"5,64374n",2.02441
"5,82011n",1.75611
"5,99647n",1.75611
"6,17284n",1.87807
"6,34921n",2.00002
"6,52557n",1.36587
"6,70194n",1.87807
"6,87831n",1.48782
"7,05467n",1.65855
"7,23104n",1.7805
"7,40741n",1.8049
"7,58377n",1.75611
"7,76014n",1.51221
"7,93651n",1.87807
"8,11287n",1.8049
"8,28924n",1.48782
"8,46561n",1.7805
"8,64198n",1.8049
"8,81834n",1.65855
"8,99471n",1.7805
"9,17108n",1.68294
"9,34744n",1.95124
"9,52381n",1.73172
"9,70018n",1.51221
"9,87654n",2.0488
