t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0444436
"176,367p",0.0444436
"352,734p",0.111109
"529,101p",0.0444436
"705,467p",0.0888872
"881,834p",0.0666654
"1,0582n",0.111109
"1,23457n",0.111109
"1,41093n",0.0444436
"1,5873n",0.0222218
"1,76367n",0.0666654
"1,94004n",0.133331
"2,1164n",0.133331
"2,29277n",0.0666654
"2,46914n",0.0888872
"2,6455n",0.111109
"2,82187n",0.155553
"2,99824n",0.0444436
"3,1746n",0.177774
"3,35097n",0.199996
"3,52734n",0.333327
"3,7037n",0.288883
"3,88007n",0.644432
"4,05644n",0.688876
"4,2328n",0.777763
"4,40917n",0.86665
"4,58554n",0.599988
"4,7619n",0.222218
"4,93827n",0.311105
"5,11464n",0.177774
"5,29101n",0.0666654
"5,46737n",0.133331
"5,64374n",0.0666654
"5,82011n",0.0666654
"5,99647n",0.0666654
"6,17284n",0.0888872
"6,34921n",0.0666654
"6,52557n",0.0666654
"6,70194n",0.111109
"6,87831n",0.0666654
"7,05467n",0.0222218
"7,23104n",0
"7,40741n",0
"7,58377n",0.0666654
"7,76014n",0.0222218
"7,93651n",0.111109
"8,11287n",0.111109
"8,28924n",0.0666654
"8,46561n",0.0666654
"8,64198n",0.0666654
"8,81834n",0.0666654
"8,99471n",0.0444436
"9,17108n",0.0444436
"9,34744n",0.0666654
"9,52381n",0.0888872
"9,70018n",0.111109
"9,87654n",0.0666654
