t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,23.7544
"176,367p",85.3607
"352,734p",83.7108
"529,101p",87.3989
"705,467p",83.4439
"881,834p",87.3504
"1,0582n",90.5047
"1,23457n",90.4319
"1,41093n",89.0731
"1,5873n",95.2362
"1,76367n",94.9693
"1,94004n",98.9728
"2,1164n",108.145
"2,29277n",117.729
"2,46914n",144.274
"2,6455n",174.313
"2,82187n",220.535
"2,99824n",287.092
"3,1746n",378.543
"3,35097n",527.887
"3,52734n",664.809
"3,7037n",785.595
"3,88007n",896.676
"4,05644n",951.512
"4,2328n",952.556
"4,40917n",883.743
"4,58554n",750.218
"4,7619n",612.229
"4,93827n",451.844
"5,11464n",327.855
"5,29101n",226.844
"5,46737n",161.016
"5,64374n",120.446
"5,82011n",104.02
"5,99647n",87.4232
"6,17284n",84.56
"6,34921n",82.2064
"6,52557n",82.4976
"6,70194n",83.3225
"6,87831n",84.9968
"7,05467n",82.2549
"7,23104n",83.5409
"7,40741n",85.6034
"7,58377n",83.4924
"7,76014n",83.2497
"7,93651n",82.3762
"8,11287n",81.2844
"8,28924n",81.4057
"8,46561n",83.3225
"8,64198n",83.0314
"8,81834n",82.2792
"8,99471n",80.3381
"9,17108n",82.2064
"9,34744n",81.1145
"9,52381n",81.066
"9,70018n",82.7645
"9,87654n",81.5998
