t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.711111
"176,367p",2.77778
"352,734p",2.33333
"529,101p",2.44444
"705,467p",3.06667
"881,834p",2.42222
"1,0582n",2.88889
"1,23457n",2.86667
"1,41093n",2.88889
"1,5873n",2.77778
"1,76367n",3.06667
"1,94004n",2.97778
"2,1164n",2.77778
"2,29277n",2.91111
"2,46914n",3
"2,6455n",3.97778
"2,82187n",4.42222
"2,99824n",4.91111
"3,1746n",6.91111
"3,35097n",8.86667
"3,52734n",11.7111
"3,7037n",14.8667
"3,88007n",20.7778
"4,05644n",24.9333
"4,2328n",27.2889
"4,40917n",24.5556
"4,58554n",18.8444
"4,7619n",13.2444
"4,93827n",8.75556
"5,11464n",6.82222
"5,29101n",4.75556
"5,46737n",3.68889
"5,64374n",3.33333
"5,82011n",2.55556
"5,99647n",2.95556
"6,17284n",2.51111
"6,34921n",2.8
"6,52557n",2.55556
"6,70194n",2.22222
"6,87831n",2.62222
"7,05467n",3.08889
"7,23104n",2.33333
"7,40741n",2.6
"7,58377n",2.4
"7,76014n",2.28889
"7,93651n",2.53333
"8,11287n",2.73333
"8,28924n",2.2
"8,46561n",2.31111
"8,64198n",2.66667
"8,81834n",2.51111
"8,99471n",2.66667
"9,17108n",2.46667
"9,34744n",2.31111
"9,52381n",2.68889
"9,70018n",2.55556
"9,87654n",2.73333
