t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.5619
"176,367p",6.12363
"352,734p",7.26406
"529,101p",6.02446
"705,467p",6.37155
"881,834p",6.69385
"1,0582n",6.24759
"1,23457n",7.53677
"1,41093n",6.34676
"1,5873n",6.39634
"1,76367n",6.99135
"1,94004n",6.74343
"2,1164n",6.76822
"2,29277n",7.16489
"2,46914n",7.93345
"2,6455n",8.05741
"2,82187n",11.1068
"2,99824n",12.5448
"3,1746n",16.933
"3,35097n",21.2963
"3,52734n",28.3621
"3,7037n",34.8824
"3,88007n",47.4023
"4,05644n",56.4762
"4,2328n",55.6333
"4,40917n",54.4185
"4,58554n",40.6589
"4,7619n",32.4032
"4,93827n",21.0236
"5,11464n",16.4371
"5,29101n",11.4787
"5,46737n",8.52846
"5,64374n",7.53677
"5,82011n",7.48719
"5,99647n",6.66905
"6,17284n",6.42113
"6,34921n",6.04925
"6,52557n",7.11531
"6,70194n",6.61947
"6,87831n",6.24759
"7,05467n",6.91697
"7,23104n",6.32197
"7,40741n",6.44593
"7,58377n",5.97488
"7,76014n",5.52862
"7,93651n",6.2228
"8,11287n",6.07405
"8,28924n",6.17321
"8,46561n",5.75175
"8,64198n",6.12363
"8,81834n",5.77654
"8,99471n",6.74343
"9,17108n",5.85092
"9,34744n",5.92529
"9,52381n",6.66905
"9,70018n",6.8426
"9,87654n",6.56989
