t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.856099
"176,367p",3.53415
"352,734p",3.4244
"529,101p",3.81952
"705,467p",3.44635
"881,834p",4.3244
"1,0582n",3.38049
"1,23457n",3.44635
"1,41093n",3.24879
"1,5873n",4.01708
"1,76367n",4.21464
"1,94004n",3.44635
"2,1164n",3.49025
"2,29277n",4.78538
"2,46914n",6.05855
"2,6455n",5.37806
"2,82187n",6.21221
"2,99824n",7.81465
"3,1746n",9.90002
"3,35097n",12.7317
"3,52734n",17.561
"3,7037n",21.5122
"3,88007n",28.2074
"4,05644n",32.2464
"4,2328n",33.7171
"4,40917n",31.6976
"4,58554n",24.783
"4,7619n",18.9
"4,93827n",12.6878
"5,11464n",8.38538
"5,29101n",6.73904
"5,46737n",5.33416
"5,64374n",4.01708
"5,82011n",3.95123
"5,99647n",3.4244
"6,17284n",3.62196
"6,34921n",3.95123
"6,52557n",3.02927
"6,70194n",3.4244
"6,87831n",3.35854
"7,05467n",3.79757
"7,23104n",3.79757
"7,40741n",3.86342
"7,58377n",3.86342
"7,76014n",3.68781
"7,93651n",3.11708
"8,11287n",3.33659
"8,28924n",3.27074
"8,46561n",3.81952
"8,64198n",3.57806
"8,81834n",3.66586
"8,99471n",3.11708
"9,17108n",3.09513
"9,34744n",3.02927
"9,52381n",3.13903
"9,70018n",3.92928
"9,87654n",3.70976
