t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.225003
"176,367p",0.77501
"352,734p",0.700009
"529,101p",0.700009
"705,467p",0.675009
"881,834p",0.850011
"1,0582n",1.22502
"1,23457n",1.20002
"1,41093n",0.77501
"1,5873n",1.45002
"1,76367n",1.70002
"1,94004n",1.77502
"2,1164n",2.12503
"2,29277n",2.87504
"2,46914n",3.97505
"2,6455n",5.22507
"2,82187n",6.80009
"2,99824n",8.47511
"3,1746n",14.0002
"3,35097n",20.9253
"3,52734n",31.3754
"3,7037n",48.1256
"3,88007n",71.401
"4,05644n",93.0262
"4,2328n",104.576
"4,40917n",93.4262
"4,58554n",68.1259
"4,7619n",41.9006
"4,93827n",24.2753
"5,11464n",12.5252
"5,29101n",7.2751
"5,46737n",4.10005
"5,64374n",2.50003
"5,82011n",1.45002
"5,99647n",1.05001
"6,17284n",1.00001
"6,34921n",1.00001
"6,52557n",0.825011
"6,70194n",0.700009
"6,87831n",0.75001
"7,05467n",0.875012
"7,23104n",0.550007
"7,40741n",0.650009
"7,58377n",0.900012
"7,76014n",0.575008
"7,93651n",0.875012
"8,11287n",0.875012
"8,28924n",0.75001
"8,46561n",0.75001
"8,64198n",0.800011
"8,81834n",0.500007
"8,99471n",0.75001
"9,17108n",0.75001
"9,34744n",0.900012
"9,52381n",0.600008
"9,70018n",0.525007
"9,87654n",0.850011
