t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.970877
"176,367p",3.95632
"352,734p",3.5437
"529,101p",3.64079
"705,467p",3.83496
"881,834p",3.95632
"1,0582n",3.81069
"1,23457n",4.39322
"1,41093n",3.78642
"1,5873n",3.9806
"1,76367n",3.95632
"1,94004n",4.07768
"2,1164n",4.24759
"2,29277n",4.10196
"2,46914n",4.83011
"2,6455n",5.33982
"2,82187n",7.01459
"2,99824n",8.00973
"3,1746n",10.3884
"3,35097n",14.102
"3,52734n",16.4321
"3,7037n",22.5243
"3,88007n",29.8302
"4,05644n",36.3836
"4,2328n",38.204
"4,40917n",34.7574
"4,58554n",26.9418
"4,7619n",20.0243
"4,93827n",13.1554
"5,11464n",9.39323
"5,29101n",7.18449
"5,46737n",5.14565
"5,64374n",4.39322
"5,82011n",4.34467
"5,99647n",3.83496
"6,17284n",3.56797
"6,34921n",3.66506
"6,52557n",4.07768
"6,70194n",3.85924
"6,87831n",3.78642
"7,05467n",3.9806
"7,23104n",3.81069
"7,40741n",4.51458
"7,58377n",3.9806
"7,76014n",4.05341
"7,93651n",3.44661
"8,11287n",4.02914
"8,28924n",3.88351
"8,46561n",3.39807
"8,64198n",3.64079
"8,81834n",3.47089
"8,99471n",3.68933
"9,17108n",4.05341
"9,34744n",3.59224
"9,52381n",3.64079
"9,70018n",3.05826
"9,87654n",3.61652
